date,VULC3,ISAE4,BBDC3,FLRY3,POMO4,ITSA3,BBAS3,CMIG4,TAEE3,UNIP6
2018-04-18,5.03408384323,7.54642295837,11.9908266068,17.2647571564,1.84049701691,5.38960504532,10.9259185791,1.73880243301,3.19878721237,9.08257484436
2018-04-19,4.92993021011,7.5382232666,12.0614910126,17.6793708801,1.85904145241,5.25191497803,10.9316644669,1.78100681305,3.203155756,8.91423416138
2018-04-20,4.83156394958,7.59093666077,11.9201602936,17.6858520508,1.87294888496,5.30699205399,10.8109731674,1.77678656578,3.203155756,8.99312114716
2018-04-23,4.71583747864,7.54407978058,11.9499168396,17.2971515656,1.8544049263,5.25978374481,10.6155567169,1.77256584167,3.17256736755,8.84165763855
2018-04-24,4.88363838196,7.58039522171,11.8643665314,17.1351909637,1.83122491837,5.33846569061,10.5121030807,1.73458254337,3.17256736755,8.83534526825
2018-04-25,5.06880140305,7.82522535324,12.0466089249,17.2647571564,1.83122491837,5.30305671692,10.6500444412,1.72403156757,3.17693662643,8.76908111572
2018-04-26,5.08037424088,7.8392829895,12.0689373016,17.6145877838,1.86367726326,5.41714429855,10.733376503,1.75779497623,3.16819691658,8.75961399078
2018-04-27,4.84313631058,7.90137052536,12.0986833572,17.2064552307,1.86367726326,5.45648431778,10.733376503,1.78311705589,3.22937655449,8.97103023529
2018-04-30,4.84892272949,7.96579837799,11.8643665314,16.9149284363,1.89149296284,5.48795604706,10.5465869904,1.78522717953,3.22937655449,8.96787643433
2018-05-02,4.71005153656,7.80648231506,11.6746873856,16.7011489868,1.88685727119,5.24404859543,10.3511714935,1.7337064743,3.19004678726,9.41595745087
2018-05-03,4.5306763649,7.8474855423,11.5359773636,16.5715713501,1.8775857687,5.11422538757,10.058054924,1.71576416492,3.34815168381,9.34022331238
2018-05-04,4.59432458878,8.0431137085,11.4950447083,17.2258892059,1.90076506138,4.98440170288,10.0379390717,1.76959228516,3.25886750221,9.56110668182
2018-05-07,4.44387960434,8.07122993469,11.3499155045,17.0185852051,1.84049701691,5.039478302,10.0264434814,1.76510679722,3.21422457695,10.1606473923
2018-05-08,4.42652225494,8.01382827759,11.3796815872,17.1675834656,2.10938572884,5.05128145218,10.2994480133,1.75613558292,3.10261964798,10.5645494461
2018-05-09,4.50174331665,7.8990278244,11.394569397,17.4915027618,1.98421370983,5.04734611511,10.733376503,1.74716377258,3.10708498955,10.1227817535
2018-05-10,4.42652225494,8.10051441193,11.6773805618,17.5951538086,1.956397295,5.15356302261,10.3396778107,1.77856349945,3.12494015694,10.6529016495
2018-05-11,4.39759063721,8.05951499939,11.4243373871,17.1999740601,2.01202964783,5.07488298416,10.2908229828,1.77407824993,3.19190406799,10.958984375
2018-05-14,4.39759063721,7.93065404892,11.2271089554,16.3901863098,1.97030544281,5.03161001205,10.0350608826,1.76959228516,3.10261964798,11.0441837311
2018-05-15,4.37444543839,7.69402503967,11.1638526917,16.3254032135,1.91467392445,4.92539072037,9.76206302643,1.75164973736,3.10059189796,11.9434976578
