date,value
2018-12-20,3.844
2018-12-21,3.8668
2018-12-24,3.8847
2018-12-26,3.9255
2018-12-27,3.9327
2018-12-28,3.8745
2018-12-31,3.8745
2019-01-02,3.8592
2019-01-03,3.768
2019-01-04,3.7624
2019-01-07,3.7059
2019-01-08,3.7205
2019-01-09,3.6928
2019-01-10,3.6866
2019-01-11,3.7138
2019-01-14,3.72575
2019-01-15,3.7046
2019-01-16,3.7194
2019-01-17,3.7588
2019-01-18,3.7483
2019-01-21,3.7702
2019-01-22,3.7612
2019-01-23,3.7991
2019-01-24,3.7812
2019-01-25,3.76195
2019-01-28,3.7673
2019-01-29,3.7367
2019-01-30,3.7148
2019-01-31,3.6516
2019-02-01,3.6691
2019-02-04,3.6753
2019-02-05,3.6738
2019-02-06,3.7016
2019-02-07,3.719
2019-02-08,3.7181
2019-02-11,3.7388
2019-02-12,3.7293
2019-02-13,3.7274
2019-02-14,3.7753
2019-02-15,3.7152
2019-02-18,3.7313
2019-02-19,3.7203
2019-02-20,3.7097
2019-02-21,3.7592
2019-02-22,3.7427
2019-02-25,3.7282
2019-02-26,3.7592
2019-02-27,3.7348
2019-02-28,3.7382
2019-03-01,3.7829
2019-03-06,3.83
2019-03-07,3.8484
2019-03-08,3.8675
2019-03-11,3.8458
2019-03-12,3.8126
2019-03-13,3.8262
2019-03-14,3.8324
2019-03-15,3.8341
2019-03-18,3.8108
2019-03-19,3.7759
2019-03-20,3.7894
2019-03-21,3.7964
2019-03-22,3.8812
2019-03-25,3.8767
2019-03-26,3.8643
2019-03-27,3.9386
2019-03-28,3.9679
2019-03-29,3.8964
2019-04-01,3.8679
2019-04-02,3.8658
2019-04-03,3.8433
2019-04-04,3.871
2019-04-05,3.8619
2019-04-08,3.8655
2019-04-09,3.856
2019-04-10,3.8342
2019-04-11,3.8396
2019-04-12,3.8682
2019-04-15,3.8727
2019-04-16,3.891
2019-04-17,3.9222
2019-04-18,3.9367
2019-04-22,3.9227
2019-04-23,3.9433
2019-04-24,3.9627
2019-04-25,3.9722
2019-04-26,3.935
2019-04-29,3.9361
2019-04-30,3.945
2019-05-02,3.9647
2019-05-03,3.9385
2019-05-06,3.9621
2019-05-07,3.9877
2019-05-08,3.9341
2019-05-09,3.967
2019-05-10,3.9575
2019-05-13,3.9887
2019-05-14,3.9785
2019-05-15,4.0028
2019-05-16,4.0135
2019-05-17,4.0841
2019-05-20,4.1053
2019-05-21,4.0807
2019-05-22,4.0225
2019-05-23,4.051
2019-05-24,4.0319
2019-05-27,4.0207
2019-05-28,4.0272
2019-05-29,3.9962
2019-05-30,3.9717
2019-05-31,3.9404
2019-06-03,3.9
2019-06-04,3.8707
2019-06-05,3.8608
2019-06-06,3.8723
2019-06-07,3.8568
2019-06-10,3.8787
2019-06-11,3.8661
2019-06-12,3.8434
2019-06-13,3.8426
2019-06-14,3.881
2019-06-17,3.8892
2019-06-18,3.8605
2019-06-19,3.872
2019-06-21,3.8252
2019-06-24,3.8231
2019-06-25,3.83
2019-06-26,3.8438
2019-06-27,3.8639
2019-06-28,3.8319
2019-07-01,3.819
2019-07-02,3.8561
2019-07-03,3.8472
2019-07-04,3.7937
2019-07-05,3.8201
2019-07-08,3.8062
2019-07-09,3.7852
2019-07-10,3.7694
2019-07-11,3.753
2019-07-12,3.7449
2019-07-15,3.746
2019-07-16,3.7621
2019-07-17,3.7615
2019-07-18,3.7486
2019-07-19,3.7405
2019-07-22,3.7397
2019-07-23,3.7618
2019-07-24,3.7593
2019-07-25,3.7846
2019-07-26,3.7738
2019-07-29,3.7906
2019-07-30,3.7897
2019-07-31,3.7646
2019-08-01,3.8293
2019-08-02,3.8736
2019-08-05,3.9401
2019-08-06,3.964
2019-08-07,3.9847
2019-08-08,3.9406
2019-08-09,3.9359
2019-08-12,3.9963
2019-08-13,3.9733
2019-08-14,4.0071
2019-08-15,4.0185
2019-08-16,3.993
2019-08-19,4.0271
2019-08-20,4.0422
2019-08-21,4.0251
2019-08-22,4.0441
2019-08-23,4.0848
2019-08-26,4.1364
2019-08-27,4.1554
2019-08-28,4.1556
2019-08-29,4.1677
2019-08-30,4.1382
2019-09-02,4.1578
2019-09-03,4.1654
2019-09-04,4.1246
2019-09-05,4.0856
2019-09-06,4.0647
2019-09-09,4.0763
2019-09-10,4.1105
2019-09-11,4.0628
2019-09-12,4.0491
2019-09-13,4.0613
2019-09-16,4.0869
2019-09-17,4.0995
2019-09-18,4.0969
2019-09-19,4.139
2019-09-20,4.1684
2019-09-23,4.1731
2019-09-24,4.1718
2019-09-25,4.1824
2019-09-26,4.1466
2019-09-27,4.1584
2019-09-30,4.1641
2019-10-01,4.1737
2019-10-02,4.1543
2019-10-03,4.1009
2019-10-04,4.0607
2019-10-07,4.0685
2019-10-08,4.0865
2019-10-09,4.0951
2019-10-10,4.1142
2019-10-11,4.1057
2019-10-14,4.126
2019-10-15,4.1485
2019-10-16,4.1711
2019-10-17,4.14545
2019-10-18,4.1373
2019-10-21,4.1316
2019-10-22,4.0855
2019-10-23,4.0718
2019-10-24,4.0086
2019-10-25,4.013
2019-10-28,3.97895
2019-10-29,3.9943
2019-10-30,4.0183
2019-10-31,4.0038
2019-11-01,3.9783
2019-11-04,3.9919
2019-11-05,4.004
2019-11-06,4.0348
2019-11-07,4.0924
2019-11-08,4.1362
2019-11-11,4.1556
2019-11-12,4.1753
2019-11-13,4.1764
2019-11-14,4.1828
2019-11-18,4.1824
2019-11-19,4.2081
2019-11-20,4.2032
2019-11-21,4.2009
2019-11-22,4.1829
2019-11-25,4.2086
2019-11-26,4.2556
2019-11-27,4.2599
2019-11-28,4.2477
2019-11-29,4.2237
2019-12-02,4.2258
2019-12-03,4.2005
2019-12-04,4.1923
2019-12-05,4.2133
2019-12-06,4.178
