date,VULC3,BBDC3,ISAE4,POMO3,UNIP6,TAEE11,LAVV3,ITSA4,RDOR3,VIVA3
2022-05-23,6.83865880966,11.5439414978,18.76496315,1.11816501617,59.8394393921,28.4210128784,3.38876914978,5.32390928268,28.5013008118,22.3047180176
2022-05-24,6.82066202164,11.7685031891,18.9868583679,1.10852587223,59.4081306458,29.0882740021,3.35649418831,5.37440109253,28.8337974548,22.1857337952
2022-05-25,6.91664361954,11.6562242508,18.5874462128,1.12298488617,59.8627548218,28.8867111206,3.33713030815,5.28463935852,29.8313026428,22.5792961121
2022-05-26,6.89264678955,11.7053442001,18.1140708923,1.19527995586,58.0501365662,28.087387085,3.40813302994,5.30707979202,31.6557922363,22.5975990295
2022-05-27,6.98863124847,11.7895565033,17.9661388397,1.18564081192,57.9335746765,27.8093643188,3.44040775299,5.30707979202,31.8859863281,23.1375999451
2022-05-30,7.07861328125,11.6983308792,17.9217586517,1.15190339088,58.5280685425,27.823261261,3.40813302994,5.29586029053,31.169834137,22.689125061
2022-05-31,6.91064453125,11.8456983566,17.9587440491,1.18082070351,58.5863571167,28.0665340424,3.31776642799,5.38001012802,30.5389328003,22.5152282715
2022-06-01,6.9946269989,11.6492080688,17.9513492584,1.18082070351,59.5888290405,27.9344749451,3.31131148338,5.33700418472,30.0955944061,22.2681083679
2022-06-02,7.07861328125,11.661324501,18.062292099,1.17118191719,59.5888290405,28.3376083374,3.34358501434,5.35949993134,30.3172664642,22.3687877655
2022-06-03,7.19858503342,11.5910768509,17.6554832458,1.15672230721,58.0617980957,28.6851348877,3.34358501434,5.2807674408,28.9787406921,22.0759048462
2022-06-06,6.89264678955,11.5348749161,17.3374328613,1.1374437809,58.1550598145,28.4488201141,3.28549194336,5.30326080322,28.2455291748,21.4626846313
2022-06-07,6.64669847488,11.4365272522,17.3448295593,1.13262450695,56.8320198059,28.0804328918,3.22739887238,5.24702358246,28.3904628754,20.794549942
2022-06-08,6.53271913528,11.3100786209,17.2042961121,1.11334574223,56.8786506653,28.1360359192,3.16285061836,5.1739153862,28.4330921173,20.492515564
2022-06-09,6.61670303345,11.3241300583,17.2190914154,1.11334574223,56.4240455627,28.1638412476,3.21448922157,5.10080337524,28.9872646332,20.4833641052
2022-06-10,6.45473527908,11.1766061783,16.9676113129,1.08924722672,56.6396865845,28.0387325287,3.16930603981,4.99957466125,28.3052082062,19.4399738312
