point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
3482,0.2,0.2,0.15,0.35,0.1,0.7178506820508832,0.19759673592509364,0.08892163072862205,-0.0493613759941417,4.0030637709237435,0.235,True
3483,0.15,0.2,0.2,0.35,0.1,0.7155951706489312,0.19707248394179988,0.08846710129121353,-0.05692171096678944,3.4621672573542353,0.235,True
3484,0.15,0.3,0.15,0.3,0.1,0.6692618208876056,0.18619994807452778,0.08536061560838466,-0.04643110584822219,4.010241511007587,0.235,True
3485,0.25,0.1,0.25,0.1,0.3,1.1531727229848472,0.29122214110423794,0.19462566399413062,-0.15408616427631683,1.8899953962251952,0.23500000000000001,True
3486,0.25,0.05,0.2,0.2,0.3,1.1503534371155064,0.29065846380094107,0.19038080697557783,-0.14499638503288548,2.0045911057370094,0.23500000000000001,True
3487,0.2,0.05,0.2,0.25,0.3,1.1244628044469231,0.2854588003900178,0.18740126493918263,-0.14570746159580672,1.9591227330682766,0.23500000000000001,True
3488,0.3,0.1,0.25,0.1,0.25,1.0985612135032015,0.2802144855933777,0.17530567735685823,-0.13448698178267648,2.0835807442402774,0.23500000000000001,True
3489,0.25,0.1,0.1,0.25,0.3,1.0977540742975411,0.2800503718687284,0.18456887120871784,-0.12943402800112136,2.163653377659715,0.23500000000000001,True
3490,0.3,0.05,0.2,0.2,0.25,1.0947743739524225,0.27944415151566004,0.17088823960509716,-0.1251318932271912,2.2331968637947273,0.23500000000000001,True
3491,0.2,0.05,0.2,0.3,0.25,1.044541329277033,0.26913654186552716,0.16359921558477178,-0.12659596960756536,2.1259487383352176,0.23500000000000001,True
3492,0.3,0.1,0.1,0.25,0.25,1.0410415018355872,0.2684121279940437,0.16490250291241643,-0.11122375425118547,2.4132626146377616,0.23500000000000001,True
3493,0.3,0.05,0.25,0.2,0.2,1.0281583295719243,0.26573833885861475,0.151874974566376,-0.11587959024434513,2.2932281543132453,0.23500000000000001,True
3494,0.3,0.05,0.2,0.25,0.2,1.0084904419828336,0.26163451420533246,0.1478561517897772,-0.10548662361002725,2.480262475482837,0.23500000000000001,True
3495,0.35,0.15,0.2,0.1,0.2,1.002925801009126,0.2604685581834212,0.15424632302890692,-0.10494284074556626,2.4820040731975874,0.23500000000000001,True
3496,0.25,0.05,0.2,0.3,0.2,0.9841813851577319,0.25652508734643,0.14335519429678217,-0.10559258635608304,2.4293853972036166,0.23500000000000001,True
3497,0.35,0.15,0.1,0.2,0.2,0.9634342236509357,0.252131207072676,0.14745706761723926,-0.09260148990822459,2.7227554040713384,0.23500000000000001,True
3498,0.3,0.2,0.05,0.25,0.2,0.9055544873380317,0.23970732126323835,0.14003640355878072,-0.08424984293699511,2.8451960609885005,0.23500000000000001,True
3499,0.2,0.1,0.2,0.35,0.15,0.8570254598788865,0.22909517374391264,0.11572513703391928,-0.08315544397582786,2.7550231565176593,0.23500000000000001,True
3500,0.3,0.1,0.25,0.25,0.1,0.8299437356113915,0.2230924671531147,0.1089720770818114,-0.07618377548548794,2.92834616992185,0.23500000000000001,True
3501,0.25,0.1,0.3,0.25,0.1,0.8273687407227521,0.22251863954920004,0.10808709240872275,-0.08490719268781233,2.6207277911938385,0.23500000000000001,True
3502,0.25,0.1,0.25,0.3,0.1,0.8073552208938906,0.21804021873328572,0.10276535382362793,-0.07370450475991464,2.9583024734177488,0.23500000000000001,True
3503,0.2,0.2,0.1,0.35,0.15,0.7898935842403652,0.2141057435727678,0.10916104575468095,-0.06390317524775013,3.350471126711437,0.23500000000000001,True
3504,0.3,0.2,0.2,0.25,0.05,0.685484000379144,0.1900292586481065,0.08801635355154513,-0.061381484305951584,3.095872652751754,0.23500000000000001,True
3505,0.2,0.2,0.3,0.25,0.05,0.6829127925015459,0.1894239583877455,0.08461297985348137,-0.060690587413292474,3.1211422802320383,0.23500000000000001,True
3506,0.25,0.2,0.2,0.3,0.05,0.6642815087213416,0.18501934981348955,0.08011709149255684,-0.049956089511344004,3.7036395687351678,0.23500000000000001,True
3507,0.2,0.2,0.25,0.3,0.05,0.6630772263705755,0.18473351742391686,0.07845438813378575,-0.0487771550264533,3.7872958626580493,0.23500000000000001,True
3508,0.2,0.25,0.2,0.3,0.05,0.6299557396932216,0.17681755406225697,0.07381353545006267,-0.04105383793806461,4.306967702484009,0.23500000000000001,True
3509,0.35,0.1,0.15,0.15,0.25,1.0852904106415382,0.2775108024960862,0.17251699497483977,-0.1188696498655678,2.334580801827287,0.23999999999999996,True
3510,0.35,0.1,0.25,0.15,0.15,0.9470868512430539,0.2486472686722776,0.13583592480161852,-0.09629932672303554,2.5820249957448485,0.23999999999999996,True
3511,0.35,0.1,0.15,0.25,0.15,0.9066957897250443,0.23995471659259482,0.12791163645005396,-0.08293883070646235,2.8931528760255145,0.23999999999999996,True
3512,0.25,0.1,0.15,0.35,0.15,0.8604156359099933,0.22984249175667437,0.11639711755988343,-0.07515545760082853,3.058227560497756,0.23999999999999996,True
3513,0.25,0.15,0.1,0.35,0.15,0.8264718832341633,0.22231865176056265,0.11348405265501474,-0.06661072224364462,3.3375805616906407,0.23999999999999996,True
3514,0.25,0.05,0.25,0.15,0.3,1.168871576375257,0.29435194462213277,0.19401925015470717,-0.15513623569516,1.8973771234241446,0.24,True
3515,0.25,0.05,0.15,0.25,0.3,1.1317777324193132,0.28693213337279766,0.1870366116153025,-0.1364080641646328,2.1034836549435614,0.24,True
3516,0.3,0.05,0.25,0.15,0.25,1.1140007191066261,0.28334569423360056,0.1746717652263855,-0.13570806029968896,2.0879061539003514,0.24,True
3517,0.3,0.05,0.15,0.25,0.25,1.075494920044974,0.27550778269548815,0.1674263451639243,-0.1186688750751953,2.3216515916318485,0.24,True
3518,0.35,0.15,0.15,0.1,0.25,1.0700241212922945,0.27438634830864816,0.17320418508287472,-0.11796978934443314,2.3259035201591307,0.24,True
3519,0.35,0.15,0.1,0.15,0.25,1.0506845643017817,0.2704061062741443,0.17011426541651997,-0.11137186771011853,2.427957004168809,0.24,True
3520,0.25,0.05,0.15,0.3,0.25,1.0505202411712244,0.27037218019408993,0.16346344966135784,-0.11758141127869837,2.2994466323697877,0.24,True
3521,0.3,0.15,0.05,0.25,0.25,1.0068153839087888,0.26128376708331547,0.16276388492841984,-0.10355296626811616,2.523189595620154,0.24,True
3522,0.3,0.05,0.25,0.25,0.15,0.9380585057127726,0.2467147894517845,0.12944638662151783,-0.09523225626710596,2.590664120776501,0.24,True
3523,0.25,0.05,0.3,0.25,0.15,0.934222822901404,0.2458919609100545,0.1291283452779127,-0.10697611564170562,2.2985687920621345,0.24,True
3524,0.35,0.15,0.25,0.1,0.15,0.9324125926861835,0.24550325341955137,0.13659003260134464,-0.09503098420341993,2.58340219747736,0.24,True
3525,0.25,0.05,0.25,0.3,0.15,0.9144351134574475,0.2416297379766077,0.12428782938367228,-0.09561556182367303,2.5270963572038925,0.24,True
3526,0.25,0.15,0.15,0.35,0.1,0.7533997391561433,0.20579950879555686,0.09422254775445803,-0.055190727919339544,3.728878319857094,0.24,True
