point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
859,0.24,0.21,0.16,0.18,0.21,0.8668764643431532,0.23126418295610107,0.14487490936123565,-0.10202467480881139,2.266747562680081,0.20379999999999998,True
860,0.21,0.16,0.24,0.21,0.18,0.8546438642596508,0.22856963937865538,0.13405851944578626,-0.10869399101965194,2.102872819688163,0.20379999999999998,True
861,0.24,0.16,0.21,0.21,0.18,0.8490320256848267,0.2273295222891194,0.13373254318887604,-0.10209320065509542,2.2266862125041382,0.20379999999999998,True
862,0.21,0.16,0.21,0.24,0.18,0.8433890464814509,0.22607999068568585,0.13142220441676553,-0.10180752811373761,2.220660837901036,0.20379999999999998,True
863,0.24,0.21,0.16,0.21,0.18,0.8160691829768578,0.21999418339511867,0.13038403191826473,-0.08878397614113742,2.477859102023095,0.20379999999999998,True
864,0.21,0.18,0.24,0.21,0.16,0.814533586182379,0.2196503051512575,0.12474070319861565,-0.09939172681006725,2.2099455578531053,0.20379999999999998,True
865,0.21,0.21,0.16,0.24,0.18,0.8105162913572594,0.21874976203881857,0.12800247212839927,-0.08850695924952334,2.4715543714716044,0.20379999999999998,True
866,0.24,0.18,0.21,0.21,0.16,0.8087457291960367,0.21835243822437245,0.1244921582312402,-0.09263388506522796,2.357155138971231,0.20379999999999998,True
867,0.21,0.18,0.21,0.24,0.16,0.8032169108509291,0.21711006955195455,0.1220014375304907,-0.09235310246425943,2.350869258950732,0.20379999999999998,True
868,0.21,0.24,0.16,0.21,0.18,0.8020993768124318,0.21685864246511755,0.12842420685149292,-0.08748748448331023,2.4787390304551176,0.20379999999999998,True
869,0.18,0.21,0.21,0.24,0.16,0.7892913132284747,0.21396958353717532,0.12014892784067693,-0.09107139132587971,2.349470897743622,0.20379999999999998,True
870,0.24,0.21,0.18,0.21,0.16,0.7889915175610236,0.2139017950355695,0.12236694153142676,-0.08448251607880275,2.531906067239384,0.20379999999999998,True
871,0.21,0.21,0.18,0.24,0.16,0.7835169000000595,0.2126625639113333,0.1198249332558799,-0.08420718816604134,2.5254680573349773,0.20379999999999998,True
872,0.21,0.24,0.18,0.21,0.16,0.7751716690414314,0.21076865340508277,0.12026095359557902,-0.08315757588251105,2.534569474498231,0.20379999999999998,True
873,0.2,0.17,0.2,0.18,0.25,0.9506574757121,0.24940989708200978,0.16403843136671709,-0.12841462312910423,1.9422234867384263,0.2038,True
874,0.2,0.18,0.2,0.17,0.25,0.9477151711254084,0.2487815353385563,0.16416279689764762,-0.12815333836174436,1.9412801766919963,0.2038,True
875,0.18,0.17,0.2,0.2,0.25,0.9466671495165111,0.24855756585469058,0.162939913711063,-0.1282152500108642,1.9385959613511596,0.2038,True
876,0.2,0.17,0.18,0.2,0.25,0.9433882407230731,0.2478563206526847,0.16255130839214768,-0.12404786611172125,1.9980700065364916,0.2038,True
877,0.19,0.16,0.22,0.19,0.24,0.9428807213987394,0.24774770933567103,0.16007294090725613,-0.12891372228010245,1.9218102227889073,0.2038,True
878,0.22,0.16,0.19,0.19,0.24,0.9378600974562947,0.2466722536658319,0.15954395482295575,-0.12264412602461627,2.011284695496314,0.2038,True
879,0.2,0.18,0.17,0.2,0.25,0.9368206601420215,0.24644936626390623,0.16195132288258415,-0.12158231042653955,2.0270166391747573,0.2038,True
880,0.19,0.16,0.19,0.22,0.24,0.9319344030457535,0.24540053208058854,0.15774765226397572,-0.12234861841948907,2.005748289197668,0.2038,True
881,0.2,0.15,0.22,0.2,0.23,0.9316159868342746,0.24533212274445537,0.15569910662753486,-0.12523901743284216,1.9589112704114884,0.2038,True
882,0.22,0.15,0.2,0.2,0.23,0.9281970226908074,0.2445971096843158,0.1553666797952387,-0.12103342539645245,2.020905455522909,0.2038,True
883,0.2,0.15,0.2,0.22,0.23,0.9242685017091639,0.24375147781856965,0.15411693935957865,-0.12083679051020269,2.0171958953013474,0.2038,True
884,0.2,0.15,0.23,0.2,0.22,0.9189350959220641,0.24260159402246062,0.15168711710978683,-0.12336637780914017,1.9665130672620459,0.2038,True
885,0.22,0.19,0.16,0.19,0.24,0.9181141346030821,0.2424244053571023,0.15773428185381233,-0.11516304034909741,2.1050538838001622,0.2038,True
886,0.23,0.15,0.2,0.2,0.22,0.9137077900600108,0.24147251583909402,0.15122321001299202,-0.11700766705818932,2.063732419508944,0.2038,True
887,0.24,0.16,0.19,0.19,0.22,0.909039440180802,0.2404624304900973,0.1512765220160354,-0.11458596871823223,2.0985329458739947,0.2038,True
888,0.2,0.15,0.2,0.23,0.22,0.9078662048739097,0.24020832005000559,0.14925721422866742,-0.11671476865509178,2.0580799055503785,0.2038,True
889,0.19,0.16,0.19,0.24,0.22,0.8993333324222594,0.23835704772469524,0.1479840265756637,-0.11410032052094266,2.089012954884257,0.2038,True
890,0.22,0.2,0.15,0.2,0.23,0.8952773540333079,0.23747512724673592,0.15230556062703063,-0.10842639808810162,2.1901965889688233,0.2038,True
891,0.2,0.2,0.15,0.22,0.23,0.8914083937234489,0.23663269799765185,0.15102477888511273,-0.10823481322615669,2.18629007566362,0.2038,True
892,0.22,0.15,0.23,0.2,0.2,0.8895761745454955,0.23623334880380886,0.14337128217308276,-0.1152869105345461,2.0490908092555813,0.2038,True
893,0.24,0.19,0.16,0.19,0.22,0.889247718620505,0.23616173149621722,0.14943139242438638,-0.10693459966776497,2.208468841983305,0.2038,True
894,0.23,0.15,0.22,0.2,0.2,0.8877685430834177,0.23583910564397015,0.14324185242888324,-0.11313309675479732,2.084616371415375,0.2038,True
895,0.2,0.15,0.23,0.22,0.2,0.8857227734297481,0.23539262096943858,0.14201411069372127,-0.11509128253795353,2.045268901159507,0.2038,True
896,0.2,0.15,0.22,0.23,0.2,0.8820024906024753,0.23457984914695973,0.14116300356232303,-0.11284126712932652,2.078848059000521,0.2038,True
897,0.23,0.2,0.15,0.2,0.22,0.8807514623574406,0.23430629579447193,0.14813132047904096,-0.1042575054480217,2.247380606198054,0.2038,True
898,0.23,0.15,0.2,0.22,0.2,0.8802945534331037,0.2342063565587953,0.14159981565980528,-0.10860870953213175,2.156423343650038,0.2038,True
899,0.19,0.19,0.16,0.24,0.22,0.8796311183761862,0.2340612152386723,0.14608835625253294,-0.10645674128759985,2.198650948805023,0.2038,True
900,0.22,0.15,0.2,0.23,0.2,0.878381918648566,0.23378783200605713,0.14087793042208485,-0.10851252071552475,2.1544779391767404,0.2038,True
901,0.25,0.17,0.2,0.18,0.2,0.8783663225482485,0.23378441808498462,0.14337302661934045,-0.10820267183285937,2.1606159452893303,0.2038,True
902,0.22,0.16,0.24,0.19,0.19,0.8735563314780821,0.23273062815450762,0.13957460580152492,-0.11304506206581943,2.0587420971913164,0.2038,True
903,0.25,0.17,0.18,0.2,0.2,0.8708833145063508,0.23214423418801733,0.14180090749745672,-0.10363195573541906,2.2400835006983826,0.2038,True
904,0.24,0.16,0.22,0.19,0.19,0.8698824095885893,0.23192451660464486,0.13934523915760544,-0.10869466808772787,2.1337248706390795,0.2038,True
905,0.19,0.16,0.24,0.22,0.19,0.867818202831981,0.2314711363897588,0.13751254929210147,-0.11275209428107758,2.052920948969061,0.2038,True
906,0.18,0.17,0.2,0.25,0.2,0.8649960820227824,0.23085074782145254,0.13847108022657142,-0.10752907329865491,2.1468681979642827,0.2038,True
907,0.25,0.18,0.17,0.2,0.2,0.8642790748802298,0.23069302799419789,0.14117040453875007,-0.10102321767906353,2.283564444829673,0.2038,True
908,0.2,0.17,0.18,0.25,0.2,0.8613800818388602,0.2300549247789363,0.13815320539426337,-0.10315637711252257,2.2301570801385675,0.2038,True
909,0.19,0.16,0.22,0.24,0.19,0.860365931790825,0.22983154172353282,0.13575940863816732,-0.10821187363227058,2.123903172627382,0.2038,True
