point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
729,0.21,0.18,0.22,0.34,0.05,0.6076038922992826,0.17141470913810108,0.07399809110922227,-0.04748223092102111,3.6100811990746875,0.24300000000000002,True
730,0.16,0.22,0.24,0.33,0.05,0.5966581384347913,0.1687506407383461,0.07124104174123003,-0.04741253004897472,3.5591992362363984,0.24300000000000002,True
731,0.18,0.21,0.22,0.34,0.05,0.5948294717507034,0.16830437860281777,0.07085658205802374,-0.04309158100540533,3.90573691370725,0.24300000000000002,True
732,0.18,0.22,0.21,0.34,0.05,0.5883501042356463,0.16672042237465234,0.06987058303534817,-0.0418317446660843,3.9855000958117666,0.24300000000000002,True
733,0.16,0.24,0.22,0.33,0.05,0.5837349538380532,0.1655895665240641,0.06914749355523639,-0.042260386751797774,3.9183164010447644,0.24300000000000002,True
734,0.2,0.14,0.3,0.3,0.06,0.6664682331163339,0.1855380091989416,0.08559255687219254,-0.06914947311595077,2.6831442213280345,0.2432,True
735,0.24,0.12,0.33,0.24,0.07,0.7091300140888377,0.19556722659972792,0.09715031615116415,-0.08240849344496781,2.3731440586318597,0.2434,True
736,0.22,0.13,0.31,0.28,0.06,0.6764817130820997,0.18790728277042779,0.08889339562492048,-0.0722034910908077,2.60246810689671,0.2434,True
737,0.2,0.14,0.31,0.29,0.06,0.6703642592170362,0.1864609668939412,0.08688045031576434,-0.07164366080150131,2.6026164046887157,0.2434,True
738,0.22,0.13,0.28,0.31,0.06,0.6647465264818604,0.18512968331872237,0.0851573335343255,-0.0647058927731965,2.861094645083233,0.2434,True
739,0.2,0.14,0.29,0.31,0.06,0.6625708849762022,0.18461329777705715,0.08431931614939753,-0.06664698113680478,2.770017405561184,0.2434,True
740,0.23,0.13,0.26,0.32,0.06,0.6586053932178433,0.1836709335282658,0.08394489745285755,-0.060054215646905384,3.0584186563717184,0.2434,True
741,0.18,0.16,0.27,0.33,0.06,0.6460546268309695,0.1806784164790518,0.07997742157533057,-0.060641953596925036,2.979429351501193,0.2434,True
742,0.21,0.15,0.24,0.34,0.06,0.6420865884218525,0.17972914100403536,0.07952423410234356,-0.05396999184363749,3.3301680223474706,0.2434,True
743,0.24,0.13,0.34,0.22,0.07,0.7103117461978585,0.19584264790282013,0.09855351419856818,-0.08449395423173811,2.3178303073103965,0.24340000000000003,True
744,0.22,0.13,0.34,0.24,0.07,0.7068176367996064,0.19502792308302452,0.09643221689593418,-0.08430688190620805,2.313309645350119,0.24340000000000003,True
745,0.19,0.16,0.25,0.34,0.06,0.6399701822582335,0.1792222067515401,0.07857906526519316,-0.05593652043146102,3.204028519634877,0.24340000000000003,True
746,0.25,0.12,0.33,0.23,0.07,0.7108730013276492,0.19597341282146918,0.09826175786546103,-0.08250141912873288,2.3753944464358585,0.2436,True
747,0.23,0.12,0.33,0.25,0.07,0.7073867618311906,0.19516070227432936,0.09606537467556303,-0.08231563084272864,2.370882665616708,0.2436,True
