date,portfolio,ifix
2023-04-19,10267.117173815177,9947.588541722002
2023-04-20,10320.898143118082,9965.047223432171
2023-04-24,10361.688880837733,9973.156834206267
2023-04-25,10330.912615956655,9968.730190770626
2023-04-26,10370.990098888915,9976.627322659811
2023-04-27,10464.488973713209,10012.146709587401
2023-04-28,10505.260397328488,10121.892053643835
2023-05-02,10626.325540763963,10126.849894291756
2023-05-03,10599.079430870992,10141.971308267908
2023-05-04,10582.144557325792,10182.448535843418
2023-05-05,10675.60944751003,10221.721716404432
2023-05-08,10704.927985116177,10264.819516893842
2023-05-09,10770.937804502822,10306.607030926303
2023-05-10,10784.170372303393,10322.93249191695
2023-05-11,10813.087502176615,10370.669414726912
2023-05-12,10819.552092923781,10427.649169030496
2023-05-15,10898.343929597013,10508.639037329
2023-05-16,10945.847712268875,10547.628912710132
2023-05-17,11076.120898358751,10588.601924350434
2023-05-18,11055.908524898607,10598.02182158148
2023-05-19,11075.188017949764,10617.428226403334
2023-05-22,11147.988326110091,10626.741884191926
2023-05-23,11245.686644638521,10643.350650362454
2023-05-24,11120.090101347841,10610.168531168882
2023-05-25,11227.187201764029,10636.445086602853
2023-05-26,11261.48677925811,10650.114561532113
2023-05-29,11283.716164839365,10649.654190614809
2023-05-30,11267.691312332074,10634.4265371962
2023-05-31,11402.83365598796,10671.610342055594
2023-06-01,11192.105521140915,10664.633952001019
2023-06-02,11233.031694014018,10719.170199128128
2023-06-05,11221.577452622842,10747.713196001147
2023-06-06,11189.560328558095,10744.490599580002
2023-06-07,11189.314149639533,10761.347257782925
2023-06-09,11218.411784915137,10790.315212425765
2023-06-12,11225.688203761336,10793.18367737206
2023-06-13,11235.671878253881,10804.940842337128
2023-06-14,11274.704174544055,10822.399524047298
2023-06-15,11311.564370490234,10852.288220524753
2023-06-16,11328.367620960638,10916.846388390153
2023-06-19,11353.573316033755,10953.321930299844
2023-06-20,11347.956829427276,10968.655823160907
2023-06-21,11429.647635753994,10989.974537946959
2023-06-22,11410.804754823854,10975.915518395359
2023-06-23,11461.288401206575,11002.192073829328
2023-06-26,11484.609260660076,11012.568126042475
2023-06-27,11505.453994373132,11036.861545217278
2023-06-28,11482.79824121208,11050.495606999053
2023-06-29,11541.487033127367,11091.610271229298
2023-06-30,11711.078666047395,11173.981252279724
2023-07-03,11710.889192360244,11162.471979347052
2023-07-04,11632.460016637628,11181.205534366689
2023-07-05,11678.483389481527,11228.694565144255
2023-07-06,11687.96043969276,11251.500632124682
2023-07-07,11634.192849265914,11299.556273262013
2023-07-10,11626.583660880828,11265.276346496401
2023-07-11,11616.301423160545,11266.976177575687
2023-07-12,11587.830695181174,11261.203834535609
2023-07-13,11515.963703144896,11255.396078348047
2023-07-14,11526.954905865176,11275.652398709546
2023-07-17,11515.334737625879,11270.659144914142
2023-07-18,11498.587549160859,11261.380900273034
2023-07-19,11508.480796517742,11242.541105810944
2023-07-20,11486.407464602966,11239.0706173574
2023-07-21,11511.692541905744,11279.831150112792
2023-07-24,11480.91360677188,11269.95088196444
2023-07-25,11468.358530463935,11271.509060453784
2023-07-26,11477.437242330623,11243.391021350586
2023-07-27,11491.506905638033,11238.964377914946
