point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
822,0.18,0.21,0.21,0.24,0.16,0.773999079642415,0.21050206447948505,0.1182815089955887,-0.09640039360579633,2.183622458433905,0.20379999999999998,True
823,0.24,0.21,0.18,0.21,0.16,0.7687702384357504,0.20931185200144786,0.11929631949960251,-0.09164931670361454,2.2838342884578524,0.20379999999999998,True
824,0.21,0.21,0.18,0.24,0.16,0.7658152126600688,0.20863817787220196,0.11736350238966825,-0.0904746731804168,2.306039585864584,0.20379999999999998,True
825,0.21,0.24,0.18,0.21,0.16,0.7574834013463234,0.20673467058707717,0.11777853907490161,-0.08945737221095151,2.3109852824602464,0.20379999999999998,True
826,0.2,0.17,0.2,0.18,0.25,0.9333073971678714,0.245695423512176,0.16243867839591208,-0.13391803560634918,1.834670157755266,0.2038,True
827,0.18,0.17,0.2,0.2,0.25,0.9310499249753694,0.24521049003072148,0.16161111491997304,-0.1331666685067806,1.8413803752868971,0.2038,True
828,0.19,0.16,0.22,0.19,0.24,0.9263486435774773,0.24419938097319993,0.15857874731451288,-0.1341473072336441,1.8203822798163094,0.2038,True
829,0.2,0.17,0.18,0.2,0.25,0.9261109731758588,0.24414822130445568,0.16094044536735075,-0.12957718029604592,1.8841914968874032,0.2038,True
830,0.2,0.18,0.17,0.2,0.25,0.9195843269987445,0.24274168224138548,0.1603294530225678,-0.12713348537718427,1.909344981152767,0.2038,True
831,0.22,0.16,0.19,0.19,0.24,0.9188439739883072,0.2425819296046201,0.15759016387363728,-0.1287500737330426,1.8841304130637058,0.2038,True
832,0.19,0.16,0.19,0.22,0.24,0.915507460996875,0.24186146976039402,0.15623647200452798,-0.127619268784945,1.8951798741925243,0.2038,True
833,0.2,0.15,0.22,0.2,0.23,0.9142408080868234,0.24158773978169346,0.1540148854248959,-0.13078156821093634,1.8472613770163613,0.2038,True
834,0.18,0.2,0.17,0.2,0.25,0.9115069165697118,0.24099652037323271,0.15973084712353225,-0.12584914901167343,1.9149634484288687,0.2038,True
835,0.22,0.15,0.2,0.2,0.23,0.909170110137941,0.24049072578495467,0.15336155748915947,-0.12716118139002497,1.8912275205066609,0.2038,True
836,0.2,0.15,0.2,0.22,0.23,0.9069683021078965,0.24001377335540353,0.15241907460042511,-0.12640559050234623,1.8987591640652048,0.2038,True
837,0.16,0.19,0.19,0.22,0.24,0.9034295892941486,0.23924645270694156,0.15537979363485835,-0.12569267860273758,1.9034239334106353,0.2038,True
838,0.2,0.15,0.23,0.2,0.22,0.9015560334448747,0.23883981303542368,0.1499525652375989,-0.1289375956559421,1.8523675101926467,0.2038,True
839,0.19,0.19,0.16,0.22,0.24,0.8959332489610603,0.23761782842219925,0.154368564277052,-0.12020577928988985,1.9767587700517872,0.2038,True
840,0.23,0.15,0.2,0.2,0.22,0.893858852318512,0.23716639525660255,0.14898396406327685,-0.12346370074677049,1.9209402749318305,0.2038,True
841,0.2,0.15,0.2,0.23,0.22,0.8906013058295579,0.23645681749127156,0.14750012266545018,-0.122325831639993,1.9330080517021784,0.2038,True
842,0.24,0.16,0.19,0.19,0.22,0.8883806979758087,0.2359726443737189,0.14884985870929562,-0.1213508729929399,1.9445483872822868,0.2038,True
843,0.19,0.16,0.19,0.24,0.22,0.8829705461529944,0.23479144369970828,0.146364893455008,-0.11945126939922812,1.965583495935837,0.2038,True
844,0.22,0.2,0.15,0.2,0.23,0.8764821824302367,0.2333718485663807,0.15023091641969466,-0.11467799345216523,2.0350185902382862,0.2038,True
845,0.2,0.2,0.15,0.22,0.23,0.8743186442352964,0.2328977585303984,0.14926572603333185,-0.11391610728425516,2.04446731970263,0.2038,True
846,0.22,0.15,0.23,0.2,0.2,0.8705500045618868,0.23207107504920454,0.1411805249171853,-0.12151117603314976,1.9098743228844455,0.2038,True
847,0.2,0.22,0.15,0.2,0.23,0.8685627150179211,0.23163469876690135,0.14951308951225473,-0.11333704178154314,2.0437687019692703,0.2038,True
848,0.2,0.15,0.23,0.22,0.2,0.8684225282825178,0.23160390437077516,0.14015478422255423,-0.12074775392701809,1.918080434943414,0.2038,True
849,0.23,0.15,0.22,0.2,0.2,0.8679248479535102,0.23149456799442136,0.14086606782713515,-0.11965707024140382,1.934650142506326,0.2038,True
850,0.2,0.15,0.22,0.23,0.2,0.8647414297418912,0.23079473667256312,0.1392944990704033,-0.11851134264140606,1.9474485017936751,0.2038,True
851,0.19,0.19,0.16,0.24,0.22,0.8633898717369102,0.23049737407850124,0.14443290098685693,-0.11187271848536151,2.0603537412802004,0.2038,True
852,0.23,0.2,0.15,0.2,0.22,0.8611482501486181,0.2300038672317979,0.14581393845890508,-0.11084494907050524,2.0750053941158755,0.2038,True
853,0.23,0.15,0.2,0.22,0.2,0.8605413809210885,0.22987019305738077,0.1392012866598848,-0.11516420904054636,1.9960211160435215,0.2038,True
854,0.22,0.15,0.2,0.23,0.2,0.8594854382321686,0.22963753282976263,0.1386552660737884,-0.11478190593758764,2.000642269824544,0.2038,True
855,0.2,0.2,0.15,0.23,0.22,0.857947824801037,0.22929858651048485,0.14429283923546837,-0.1096975967065894,2.0902790343146247,0.2038,True
856,0.22,0.16,0.24,0.19,0.19,0.8545413908323047,0.2285470170043553,0.13731057414916908,-0.11931239032389573,1.9155346429982822,0.2038,True
857,0.19,0.16,0.24,0.22,0.19,0.8513905708651928,0.2278510243545493,0.13575113685702359,-0.11816196477935581,1.928294140843174,0.2038,True
858,0.18,0.17,0.2,0.25,0.2,0.8495362250978982,0.22744104396281917,0.13688741905529675,-0.11267179771539182,2.018615559302015,0.2038,True
859,0.25,0.17,0.18,0.2,0.2,0.8495270280842615,0.22743900989691324,0.1389960871107061,-0.11081818407258937,2.0523618195000704,0.2038,True
860,0.24,0.16,0.22,0.19,0.19,0.8492392330970908,0.22737535604857895,0.13669277594512225,-0.11556733989232293,1.967470708077476,0.2038,True
861,0.2,0.17,0.18,0.25,0.2,0.8442850951696514,0.22627857398324336,0.13623693724826538,-0.1089003017464969,2.0778507529757353,0.2038,True
862,0.19,0.16,0.22,0.24,0.19,0.8440137569318942,0.2262184464958057,0.1339793092830549,-0.11364797947945093,1.9905188594814305,0.2038,True
863,0.24,0.16,0.19,0.22,0.19,0.838121315091074,0.22491124697466636,0.13418115623311683,-0.10874529083836737,2.068238957666326,0.2038,True
864,0.2,0.18,0.17,0.25,0.2,0.8377546258366269,0.22482980708251388,0.13557171432616447,-0.1063178135407652,2.114695549079439,0.2038,True
865,0.22,0.16,0.19,0.24,0.19,0.836046655109588,0.22445033229978528,0.13302608409921585,-0.10797636843571168,2.0786986592665535,0.2038,True
866,0.17,0.2,0.18,0.25,0.2,0.8325995437883191,0.22368373998624635,0.13516255395038962,-0.1068458525823881,2.0935182281761042,0.2038,True
867,0.18,0.2,0.17,0.25,0.2,0.8299804709463616,0.22310064958357145,0.13483424779548575,-0.10493890550719909,2.1260051122628316,0.2038,True
868,0.23,0.2,0.15,0.22,0.2,0.82783250540523,0.2226220274935855,0.1359206709970103,-0.10226057900414354,2.177007304882999,0.2038,True
869,0.22,0.2,0.15,0.23,0.2,0.8267954140225711,0.22239080255050947,0.1353596728305918,-0.1018750886201033,2.1829753040001227,0.2038,True
870,0.25,0.17,0.2,0.2,0.18,0.822964706473243,0.22153596680002718,0.13086702636231393,-0.10682297923055895,2.0738605906307863,0.2038,True
871,0.2,0.22,0.15,0.23,0.2,0.8190586147809824,0.22066307465319146,0.13454624659574593,-0.10047512932472968,2.1961959754241414,0.2038,True
872,0.24,0.19,0.16,0.22,0.19,0.8184878854120017,0.22053542946841231,0.13218628021126766,-0.10091756763103077,2.1853026647919394,0.2038,True
873,0.2,0.17,0.2,0.25,0.18,0.8178447823954462,0.2203915657092994,0.12793077749184426,-0.10489176160409175,2.1011332285671336,0.2038,True
874,0.2,0.18,0.25,0.2,0.17,0.8164646045712112,0.22008270186603074,0.12764345071597208,-0.11177132473335971,1.9690444073294944,0.2038,True
875,0.22,0.19,0.16,0.24,0.19,0.8164357335535379,0.2200762392791542,0.131011392278172,-0.10014480512068213,2.1975801841537916,0.2038,True
876,0.17,0.2,0.2,0.25,0.18,0.8063019025773863,0.21780360398305332,0.12676925197844363,-0.10280232223315733,2.1186642407656047,0.2038,True
877,0.19,0.22,0.16,0.24,0.19,0.8048981379458344,0.21748812282041885,0.1297694533720583,-0.09802865062326171,2.218617939119219,0.2038,True
878,0.25,0.18,0.2,0.2,0.17,0.8029443253157735,0.21704875179667527,0.12613653338456676,-0.1021636479964495,2.1245203754296087,0.2038,True
879,0.2,0.2,0.17,0.25,0.18,0.7982738646896674,0.21599717626079462,0.12581304215910785,-0.09698600999211793,2.227096220149161,0.2038,True
880,0.2,0.18,0.2,0.25,0.17,0.7979036119269338,0.2159137342955535,0.1230846666739899,-0.1002224647081349,2.154344686336856,0.2038,True
881,0.19,0.19,0.24,0.22,0.16,0.7917374565063333,0.21452241211859824,0.12137521991822724,-0.10444640194982968,2.05389949403564,0.2038,True
882,0.18,0.2,0.2,0.25,0.17,0.7902724201002349,0.21419137425688017,0.12225501407850241,-0.09880799024851683,2.1677535765898783,0.2038,True
883,0.2,0.2,0.18,0.25,0.17,0.784864781623579,0.21296790466915905,0.12162852240382507,-0.09489794312189626,2.2441783000038487,0.2038,True
884,0.19,0.19,0.22,0.24,0.16,0.7843009839366579,0.21284020414255544,0.1194901707348834,-0.09978323989416782,2.133025589951761,0.2038,True
885,0.24,0.19,0.19,0.22,0.16,0.7780825608721489,0.21142993934639565,0.11987636628492769,-0.09468360254614672,2.2330153654995257,0.2038,True
886,0.22,0.19,0.19,0.24,0.16,0.7761028948138535,0.21098028452660555,0.11857847188977798,-0.09390272360984275,2.2467962207700105,0.2038,True
887,0.22,0.2,0.23,0.2,0.15,0.7708538550230166,0.20978641501687556,0.11746210827596273,-0.09855237107077663,2.128679530868058,0.2038,True
888,0.2,0.2,0.23,0.22,0.15,0.7688850946394041,0.2093380212717939,0.1162214594536954,-0.09776900864935723,2.141149063120527,0.2038,True
889,0.23,0.2,0.22,0.2,0.15,0.7680999314526478,0.2091591041265224,0.11717214753898726,-0.09658353073881776,2.165577324897479,0.2038,True
890,0.2,0.2,0.22,0.23,0.15,0.7651544398257604,0.2084874348943455,0.11526918688098318,-0.09540789663978022,2.185222001921976,0.2038,True
891,0.19,0.22,0.19,0.24,0.16,0.7647806019911709,0.2084021341112583,0.11718003903456588,-0.09173134748737866,2.2718747714889114,0.2038,True
892,0.23,0.2,0.2,0.22,0.15,0.7606183074179174,0.20745158397013053,0.11533994671250426,-0.09183920670697454,2.2588564449607342,0.2038,True
893,0.22,0.2,0.2,0.23,0.15,0.7596415754179455,0.20722830905335643,0.11467734186584211,-0.09144693797955372,2.2661044058106117,0.2038,True
894,0.2,0.22,0.2,0.23,0.15,0.7521439833695556,0.20551164785343823,0.11368775865285087,-0.08998550600718747,2.28383055196715,0.2038,True
895,0.2,0.23,0.2,0.22,0.15,0.749375589083422,0.20487655367809476,0.11382775300304249,-0.08964518787744646,2.2854160778622115,0.2038,True
896,0.19,0.17,0.21,0.18,0.25,0.9357711699683677,0.24622424228954887,0.1627869677333806,-0.13570304374033415,1.8144341902949168,0.204,True
897,0.18,0.17,0.21,0.19,0.25,0.9346398021698328,0.24598146374763386,0.16238235439420243,-0.13532755841017297,1.8176745862958148,0.204,True
898,0.21,0.17,0.19,0.18,0.25,0.9308363959610726,0.24516460174387755,0.16212243984695823,-0.13212691355832762,1.8555235654971178,0.204,True
899,0.18,0.17,0.19,0.21,0.25,0.9274580820607885,0.2444381371529123,0.16085365416040806,-0.13099927022955626,1.865950373040794,0.204,True
900,0.21,0.17,0.18,0.19,0.25,0.927234509225707,0.24439003064091547,0.16138105156865742,-0.12995333570692236,1.880598364878273,0.204,True
901,0.19,0.17,0.18,0.21,0.25,0.9249875623672714,0.24390634487477758,0.1605167449391397,-0.1292011798024133,1.8878027681154483,0.204,True
902,0.21,0.18,0.17,0.19,0.25,0.9207039980122322,0.24298320571449272,0.16077199855337518,-0.12751026519842545,1.905597210831408,0.204,True
903,0.19,0.18,0.17,0.21,0.25,0.918464780750504,0.2425000917494866,0.15990386817468788,-0.12675686119603669,1.9131121539404992,0.204,True
904,0.21,0.15,0.22,0.19,0.23,0.9153470158459003,0.24182680344379426,0.1544752222550628,-0.13115904610258522,1.8437676289186409,0.204,True
905,0.18,0.19,0.17,0.21,0.25,0.9144248276206559,0.24162751481245137,0.15961213100917895,-0.12611516654391142,1.9159274925773522,0.204,True
906,0.19,0.15,0.22,0.21,0.23,0.9131347233498801,0.24134861059254598,0.1535720467230415,-0.13040424622474023,1.850772636472304,0.204,True
907,0.22,0.15,0.21,0.19,0.23,0.9128126744750125,0.24127896814297256,0.1541501264541362,-0.12935224746610752,1.865286246427158,0.204,True
908,0.19,0.15,0.21,0.22,0.23,0.9095020994683636,0.2405626090040469,0.1527660188630878,-0.12821945328299422,1.8761787142634212,0.204,True
909,0.22,0.15,0.19,0.21,0.23,0.9055256569897687,0.23970107055045098,0.15258733024600835,-0.12496345150564059,1.918169414035682,0.204,True
910,0.21,0.15,0.19,0.22,0.23,0.9044273737224688,0.23946290459637454,0.15210624418051605,-0.12458545937986976,1.9220774702626848,0.204,True
911,0.21,0.15,0.23,0.19,0.22,0.9026497839616219,0.2390772348995609,0.15042557027389103,-0.12931637019576958,1.848777803905464,0.204,True
912,0.19,0.15,0.23,0.21,0.22,0.9004624043647158,0.238602326477674,0.1494974307200918,-0.12855897825278095,1.855975597507618,0.204,True
913,0.23,0.15,0.21,0.19,0.22,0.8975203043928557,0.23796298338769173,0.1497830079728692,-0.12567398709750333,1.8934943410609686,0.204,True
914,0.19,0.15,0.21,0.23,0.22,0.8931664554751024,0.23701564148158139,0.14784561307462707,-0.1241576169025832,1.9089899387127338,0.204,True
915,0.23,0.15,0.19,0.21,0.22,0.8901955516637139,0.2363683766769178,0.14819959329530993,-0.12124665034096327,1.9494837672811203,0.204,True
916,0.21,0.15,0.19,0.23,0.22,0.8880290803250566,0.23589594415457826,0.14718989629140783,-0.12048767808300187,1.9578428923833493,0.204,True
917,0.22,0.15,0.23,0.19,0.21,0.8872284227583682,0.23572125694070345,0.14605251572857497,-0.12562781601030115,1.8763460547732114,0.204,True
918,0.23,0.15,0.22,0.19,0.21,0.8846337267502011,0.23515480722235615,0.14573530723994157,-0.12379203441179176,1.8995956269699739,0.204,True
919,0.19,0.15,0.23,0.22,0.21,0.8839923829757284,0.23501471492288517,0.14458947744614542,-0.12448721810369778,1.8878622119028963,0.204,True
920,0.19,0.15,0.22,0.23,0.21,0.8803294323328936,0.2342139861567436,0.14374247472599172,-0.12227044348513993,1.915540497611826,0.204,True
921,0.22,0.19,0.15,0.21,0.23,0.8793663410261192,0.23400327970995427,0.15010804035473044,-0.11496517967579778,2.0354274256765774,0.204,True
922,0.21,0.19,0.15,0.22,0.23,0.8782833661535296,0.23376625895982195,0.149617797928239,-0.11458467278096918,2.040118047958043,0.204,True
923,0.23,0.15,0.19,0.22,0.21,0.8736020012341634,0.2327406421240119,0.14330100801190376,-0.11710219817471146,1.9875001985596619,0.204,True
924,0.22,0.15,0.19,0.23,0.21,0.8725337450861417,0.23250636385242185,0.14277085698067352,-0.11672120979104827,1.9919804144306728,0.204,True
925,0.19,0.21,0.15,0.22,0.23,0.870358935180441,0.23202913277289805,0.1489313225666232,-0.11324579442516414,2.0488984509374353,0.204,True
926,0.23,0.19,0.15,0.21,0.22,0.8640181902104018,0.23063563124350583,0.14568939994147298,-0.11113978152952231,2.075185213336429,0.204,True
927,0.18,0.17,0.19,0.25,0.21,0.8625125540737999,0.23030427434144807,0.1410604481506482,-0.11462487641816166,2.0091997613264834,0.204,True
928,0.21,0.19,0.15,0.23,0.22,0.8618821844017972,0.2301654910085622,0.14465967792401557,-0.11037575835732294,2.0852902343233755,0.204,True
929,0.19,0.17,0.18,0.25,0.21,0.8599162782449223,0.22973247223071747,0.1407310130054191,-0.11275439648381524,2.0374591093101477,0.204,True
930,0.25,0.18,0.17,0.19,0.21,0.8597460601249756,0.22969496491740204,0.14323999353696604,-0.11249618979868903,2.0418021741753143,0.204,True
931,0.19,0.21,0.15,0.23,0.22,0.8540184481444566,0.22843155745816035,0.1439441863923736,-0.10901765180958856,2.0953630321917176,0.204,True
932,0.22,0.15,0.23,0.21,0.19,0.8537119821366861,0.2283638833052304,0.1363028702000507,-0.11734448561082023,1.9460981239681976,0.204,True
933,0.19,0.18,0.17,0.25,0.21,0.8533891883746343,0.22829259557314785,0.1400753065048422,-0.11020001844164462,2.0716203028045594,0.204,True
934,0.21,0.15,0.23,0.22,0.19,0.8526631177209407,0.22813221546943363,0.13576321850242817,-0.11696125436745619,1.9504939195736783,0.204,True
935,0.17,0.19,0.18,0.25,0.21,0.8520623946987036,0.2279994914377388,0.14006209753344412,-0.1114052954560919,2.0465767852803736,0.204,True
936,0.23,0.15,0.22,0.21,0.19,0.8510568489340171,0.22777726142660892,0.1359914735040757,-0.11547174422315676,1.9725800710727497,0.204,True
937,0.18,0.19,0.17,0.25,0.21,0.8494703427858039,0.2274264728923221,0.13973066112876795,-0.10952092069145503,2.0765573504721844,0.204,True
938,0.21,0.15,0.22,0.23,0.19,0.8489643023993645,0.22731454132582862,0.13488920074906544,-0.11470488612037055,1.9817337256870318,0.204,True
939,0.23,0.19,0.15,0.22,0.21,0.8474242508841103,0.22697377011017617,0.14074840245611053,-0.10688224276726477,2.123587269818147,0.204,True
940,0.23,0.15,0.21,0.22,0.19,0.8473509992429082,0.2269575568105342,0.13513693934052304,-0.1132086003257391,2.004773101668082,0.204,True
941,0.22,0.19,0.15,0.23,0.21,0.8463711518714292,0.2267406390904303,0.14020727425533464,-0.10649871842112357,2.1290457054500784,0.204,True
942,0.22,0.15,0.21,0.23,0.19,0.8463073168717676,0.22672650469350275,0.1345742489519622,-0.11282497428833527,2.009541824614832,0.204,True
943,0.18,0.17,0.21,0.25,0.19,0.8364301299517594,0.22453555273977543,0.13274621011778134,-0.11070092674447152,2.0283077959958353,0.204,True
944,0.19,0.22,0.15,0.23,0.21,0.8346706028915043,0.22414443151861763,0.13906291230917817,-0.10443050275150567,2.146350210071989,0.204,True
945,0.25,0.17,0.18,0.21,0.19,0.8326011920973779,0.22368410677820072,0.13410719071117222,-0.1065376043495917,2.099578905906363,0.204,True
946,0.21,0.17,0.18,0.25,0.19,0.8284668983532808,0.222763425600095,0.1317843143259515,-0.10499720130596135,2.121612984244822,0.204,True
947,0.25,0.18,0.17,0.21,0.19,0.8260529622746455,0.22222521529155337,0.13344552440820504,-0.10392905497908878,2.1382395455848857,0.204,True
948,0.21,0.18,0.17,0.25,0.19,0.8219336739458929,0.22130568376801962,0.13110944053741394,-0.1023860918250793,2.161481894885758,0.204,True
949,0.19,0.17,0.21,0.25,0.18,0.8205241758735764,0.2209907291266877,0.1282668495581462,-0.10680529085677026,2.0690990807098144,0.204,True
950,0.25,0.17,0.19,0.21,0.18,0.8192441725313513,0.22070456939960081,0.1300332830153409,-0.10451715018480845,2.1116588905203444,0.204,True
951,0.19,0.18,0.25,0.21,0.17,0.8154436715200626,0.2198541311148654,0.12710628919669986,-0.11138415894755016,1.973836613682138,0.204,True
952,0.21,0.17,0.19,0.25,0.18,0.8151585466730851,0.2197902808653751,0.12763556989060446,-0.10297139505686004,2.1344790050091924,0.204,True
953,0.17,0.21,0.18,0.25,0.19,0.8130135830359964,0.21930972777511326,0.1302513247443687,-0.10221597674741412,2.145552336862656,0.204,True
954,0.17,0.19,0.21,0.25,0.18,0.8128126723903659,0.21926469676952376,0.1275154324384652,-0.10542176119689672,2.079880797665693,0.204,True
955,0.18,0.21,0.17,0.25,0.19,0.8103680369970039,0.21871650289169509,0.12992651711872655,-0.10028598189655002,2.1809279697466795,0.204,True
956,0.23,0.21,0.15,0.22,0.19,0.8081195668399266,0.2182118619039377,0.13108713309282025,-0.09756708959469995,2.236531424790921,0.204,True
957,0.22,0.21,0.15,0.23,0.19,0.8070983919008055,0.21798253379862564,0.13050477232458318,-0.09717961813867027,2.243089013661032,0.204,True
958,0.25,0.18,0.21,0.19,0.17,0.8066729481529422,0.2178869652113502,0.12700230288998232,-0.10448744657999431,2.0852932322787563,0.204,True
959,0.25,0.19,0.17,0.21,0.18,0.8061553190105548,0.21777066853159677,0.12867162152797415,-0.09924680743866754,2.194233488731358,0.204,True
