TICKER,SETOR,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,VPA,LPA,PEG RATIO
ELET,Utilidade Pública,-0.7306496335887877,-0.2151407696893697,0.34862198544760153,0.23179585232890965,0.5438600659235366,1.0086386899052575,0.4285963903928126,-0.21077819478738025,-0.2270455100594271,-0.12021363352987716,-0.7439301426597889,-1.1065493057503344,0.005663328922053551,0.28534988419834234,0.27714442092592084,-0.49784272165356447,-0.5510234305445922,0.04508688208007656,0.5351055999841727,-0.3496093780030914,-1.0983154739687604,-0.11815030459056217,-1.1456424685324964,1.3364220223170173,-0.06598035845713798,-0.2143911118538273
ELMD,Comunicações,-0.858642869207553,-1.6502598807630584,-1.7732413528049649,-1.7157111042086612,0.3895735025352179,0.4790307323333456,-0.4107546045498076,1.3754292169691873,1.3004331717058584,-0.5434762881107943,1.0636866265282676,-2.031966715138811,0.6671184846758716,-1.882346328999239,1.3545172070675275,0.45386987410153545,-0.42572417138510293,-0.552334641386015,0.17093518554053386,-0.24139448855023038,0.28496447802618713,0.5885686392687787,1.182486112050326,0.2935519453538322,-0.40808507320096415,2.325829428854551
EMAE,Utilidade Pública,-1.4476998822736873,-2.840704473730555,-0.5452173207857569,-2.864498146529893,0.07121735163428272,-1.3848908940875477,-0.2973118894246686,4.690218681644016,4.68803996972171,4.608324250419788,-1.3450310959580125,-2.8103499323290317,0.09871779239272913,-2.6446359018364785,1.3022194793646253,-0.6152410326845327,-0.6342168237425121,-2.2472928663429665,1.5980544167324984,-1.3384904366555432,-0.4697026360413859,-0.16632701014852988,-1.5011260255821672,0.4050820460712842,-0.5840720890021476,-0.2572139061307079
EMBR,Bens Industriais,-1.6514057645312001,-0.8346115676621414,-0.09409596120814857,0.021282649850977726,-0.8356303128157435,0.025524326273501263,0.14746638130555875,1.0357261260115456,0.7356630471999775,0.2915793883265101,-0.5818116855496926,-0.11806041213792545,-0.1785189197563446,-0.0005477154525417276,-0.5499398223997302,0.18947555421331097,-0.12527663296646513,0.23562931459280873,-0.2150024615328061,0.1304170346846776,-0.42529834008762524,0.1611684898630633,,1.81524481886513,0.7726509227900533,-0.26369698680926446
ENAT,"Petróleo, Gás e Biocombustíveis",,-0.027738387918252384,-0.7874429540467678,-0.4962279043442497,-0.0605096114989929,1.8598927627462583,0.5852138784708739,0.7363346291872496,-0.666426740480733,0.7959955373386728,-0.7641110067626523,-1.7653475300334704,-0.09748156238237761,-1.195629862591171,1.9359683169001294,0.32708803511611406,-0.01639903074716458,0.20495884463086264,0.13920836844147277,0.05472385268492389,-0.7799056452555704,-0.5762046613447871,-1.0909037949082867,-0.02867508390322632,-0.06842160906416413,0.3644689992571233
ENEV,Utilidade Pública,,-3.0884144510645357,0.1649933666443739,0.10993049765573047,-0.23620693568744167,-0.6549644674874342,-0.7242822125859217,-0.19337273428156457,-0.17991318614882584,-0.2855812217997833,-0.2849075965047819,-0.16643492654560987,0.09945592933194652,0.20077297491073934,-0.20375498920581708,-0.7458866239485673,-1.1571467238437225,-2.1859396370664377,-0.07229372387201363,0.0035624286584989887,-0.6493063040206357,1.812213204388311,-1.33837451753533,-0.7255550338995718,-0.9186729983124663,-0.2216246919681652
ENGI,Utilidade Pública,-0.2882957512664929,0.2886100835227495,0.2532071148929833,0.7497236096899212,-0.6103086596067763,-0.6709141781771376,-0.3014230204592336,-0.21801895845018318,-0.21727578465498876,-0.23763681045863114,0.6003501710798743,0.9246675196222977,0.019146630345091703,0.6417811447675267,-0.29866934646866017,0.06767910346837552,-0.2562811232148193,-0.17479794312426747,-0.9833927096562928,0.6392716806493609,0.20381111888080106,0.21137836142593694,3.1653094830984796,-0.3184356073230694,-0.16672041717422328,-0.2141017686492538
ENJU,Tecnologia da Informação,,0.9177094086431323,0.6071975967578249,0.6367982463324854,0.8574628417622048,0.1671355804709761,0.2320327511539963,-1.0402915421613463,-0.710708348800031,-0.7940707502079136,-1.8445369369292628,0.6233800011377274,-0.7937072910025517,0.6396219746617838,0.7699461039687677,-0.23325047022973272,-0.107258191505596,-0.3446628466387082,0.5881876501408909,-0.5523699142603004,0.1381321112838255,0.4529828372963038,,-0.7164498899846071,0.06187322756149279,-0.32927990588728384
EQTL,Utilidade Pública,-1.2744212352727795,-0.27620867972499,0.04617484859522641,0.47552656167526813,-0.40496575751856123,-0.5839157562333013,-0.5469162736661164,-0.2144043323927585,-0.21133473542256,-0.24291882187757163,0.6877830370141614,0.6967610034514553,0.13606752151713036,0.43638007935477646,-0.38725607991398026,-0.33567773949016494,-0.7340488955800158,-0.038934148689062795,-0.9833927096562928,0.7805404033139971,0.06910836789636357,0.9966586620208108,-0.522832421291858,-0.1730243226035281,-0.44159686310227,-0.2042640996937542
ESPA,Consumo não Cíclico,-1.1795128865425386,-1.7287900914065575,0.39907995402748947,0.9027483304817063,0.1526875963409156,0.2693411658607648,-0.22617330963165386,-0.08759665365259917,-0.24735575166923712,-0.5334092527408824,-0.21786520234797213,0.3298038781094687,-0.21573019062550267,0.8993060140914417,-0.23112818709712862,0.03849947457344786,-0.19288202118710213,-0.010164136705316445,0.20828532833183575,-0.1065773315550386,-0.8958548257266578,-0.6575394691651872,-1.7042884066354285,-0.870427603288539,-0.3241520348565341,0.16009233189567162
