date,value
2021-05-25,136.229270896
2021-05-26,136.247347158
2021-05-27,136.265425819
2021-05-28,136.283506878
2021-05-31,136.301590337
2021-06-01,136.319676195
2021-06-02,136.337764453
2021-06-04,136.355855111
2021-06-07,136.373948169
2021-06-08,136.392043628
2021-06-09,136.410141488
2021-06-10,136.42824175
2021-06-11,136.446344413
2021-06-14,136.464449479
2021-06-15,136.482556947
2021-06-16,136.500666817
2021-06-17,136.52269393
2021-06-18,136.544724597
2021-06-21,136.566758819
2021-06-22,136.588796597
2021-06-23,136.610837931
2021-06-24,136.632882822
2021-06-25,136.65493127
2021-06-28,136.676983277
2021-06-29,136.699038841
2021-06-30,136.721097965
2021-07-01,136.743160649
2021-07-02,136.765226893
2021-07-05,136.787296697
2021-07-06,136.809370063
2021-07-07,136.831446991
2021-07-08,136.853527482
2021-07-09,136.875611536
2021-07-12,136.897699153
2021-07-13,136.919790335
2021-07-14,136.941885081
2021-07-15,136.963983393
2021-07-16,136.986085271
2021-07-19,137.008190716
2021-07-20,137.030299728
2021-07-21,137.052412307
2021-07-22,137.074528455
2021-07-23,137.096648172
2021-07-26,137.118771458
2021-07-27,137.140898314
2021-07-28,137.163028741
2021-07-29,137.185162739
2021-07-30,137.207300308
2021-08-02,137.22944145
2021-08-03,137.251586165
2021-08-04,137.273734454
2021-08-05,137.301093109
2021-08-06,137.328457217
2021-08-09,137.355826779
2021-08-10,137.383201795
2021-08-11,137.410582267
2021-08-12,137.437968196
2021-08-13,137.465359583
2021-08-16,137.492756429
2021-08-17,137.520158736
2021-08-18,137.547566503
2021-08-19,137.574979733
2021-08-20,137.602398427
2021-08-23,137.629822585
2021-08-24,137.657252208
2021-08-25,137.684687299
2021-08-26,137.712127857
2021-08-27,137.739573884
2021-08-30,137.767025381
2021-08-31,137.794482349
2021-09-01,137.821944789
2021-09-02,137.849412703
2021-09-03,137.876886091
2021-09-06,137.904364954
2021-09-08,137.931849294
2021-09-09,137.959339112
2021-09-10,137.986834408
2021-09-13,138.014335184
2021-09-14,138.041841441
2021-09-15,138.06935318
2021-09-16,138.096870402
2021-09-17,138.124393109
2021-09-20,138.1519213
2021-09-21,138.179454978
2021-09-22,138.206994143
2021-09-23,138.239731234
2021-09-24,138.272476079
2021-09-27,138.305228681
2021-09-28,138.33798904
2021-09-29,138.37075716
2021-09-30,138.403533041
2021-10-01,138.436316686
2021-10-04,138.469108096
2021-10-05,138.501907274
2021-10-06,138.534714221
2021-10-07,138.567528938
2021-10-08,138.600351429
2021-10-11,138.633181694
2021-10-13,138.666019736
2021-10-14,138.698865556
2021-10-15,138.731719156
2021-10-18,138.764580539
2021-10-19,138.797449705
2021-10-20,138.830326657
2021-10-21,138.863211396
2021-10-22,138.896103925
2021-10-25,138.929004245
2021-10-26,138.961912358
2021-10-27,138.994828267
2021-10-28,139.035492594
2021-10-29,139.076168817
2021-11-01,139.116856941
2021-11-03,139.157556969
2021-11-04,139.198268904
2021-11-05,139.238992749
2021-11-08,139.279728509
2021-11-09,139.320476186
2021-11-10,139.361235785
2021-11-11,139.402007308
2021-11-12,139.442790759
2021-11-16,139.483586142
2021-11-17,139.52439346
2021-11-18,139.565212717
2021-11-19,139.606043915
2021-11-22,139.64688706
2021-11-23,139.687742153
2021-11-24,139.728609199
