date,CXSE3,FIQE3,UNIP3,MBRF3,TAEE3,BMOB3,POMO3,JHSF3,PSSA3,LAVV3,SIMH3,AZZA3,PFRM3
2025-06-09,13.5213937759,2.94302773476,46.4703178406,25.1599998474,10.3566608429,17.8315696716,4.59219789505,4.77822160721,48.6861610413,10.0848855972,10.0206022263,38.3449707031,7.93979549408
2025-06-10,13.2364425659,2.96608042717,46.4959068298,25.4899997711,10.430308342,18.1607685089,4.59219789505,4.84291744232,48.7794647217,10.2725906372,10.4912366867,38.9355926514,7.93979549408
2025-06-11,13.3375549316,2.97376418114,45.4977416992,25.5799999237,10.3290424347,18.1058998108,4.63881874084,4.8983707428,48.938079834,10.2811222076,10.883433342,37.9269943237,8.06965065002
2025-06-12,13.3927059174,2.98144888878,45.2929878235,25.2800006866,10.3750724792,17.7858486176,4.80976390839,4.8983707428,49.8151435852,10.1531419754,11.1971893311,38.6266479492,8.1067533493
2025-06-13,13.4202823639,2.9583966732,45.4636154175,25.1800003052,10.4395132065,17.4657936096,4.81753444672,4.83367395401,49.4419250488,10.1019506454,10.8246030807,37.372718811,8.06037521362
2025-06-16,13.5305862427,2.98144888878,45.6342430115,25,10.4763383865,17.5480937958,4.87192630768,4.97230815887,50.0950508118,10.2128667831,11.1971893311,37.9360771179,8.21805858612
2025-06-17,13.3467464447,2.9199757576,44.4825057983,24.3999996185,10.4947490692,17.5480937958,4.85638523102,4.99079227448,50.300327301,10.2469949722,11.5501651764,36.9638252258,8.0882024765
2025-06-18,13.2824029922,2.95071196556,45.1906089783,24.3600006104,10.4763383865,17.5572395325,4.88746595383,4.88912773132,50.0483970642,10.4005708694,11.7658729553,37.5453605652,8.37574100494
2025-06-20,13.0526037216,2.93534421921,44.6531333923,23.3199996948,10.5039548874,17.7858486176,4.85638523102,4.86140108109,49.9177742004,10.2555274963,10.7657737732,36.5731048584,8.21805858612
2025-06-23,13.0526037216,2.90460705757,45.8134002686,24.3600006104,10.4579257965,17.8315696716,4.91854715347,4.84291744232,49.843132019,10.2299318314,10.4716272354,35.1010971069,8.05109977722
2025-06-24,13.061794281,2.94302773476,45.2503318787,23.7700004578,10.4763383865,17.8864364624,4.86415576935,4.87988567352,50.3749732971,10.366443634,11.2167987823,36.682144165,7.95834541321
2025-06-25,13.1169471741,2.90460705757,44.7896347046,22.7600002289,10.448720932,17.9504451752,4.91854715347,4.82443237305,50.2909965515,10.1104831696,11.0207014084,35.0011444092,7.67080593109
2025-06-26,13.2915945053,2.92765951157,45.0967636108,22.9099998474,10.5315723419,18.041891098,4.91854715347,4.85216093063,50.8788070679,10.2384624481,10.3147497177,37.0910377502,7.78211164474
2025-06-27,13.2180585861,2.91229176521,44.7981681824,22.5,10.5315723419,18.0053119659,5.01956033707,4.85216093063,51.0042114258,10.3237838745,9.86372375488,37.3181991577,7.90269327164
2025-06-30,13.5030097961,2.94302773476,44.5507583618,22.8999996185,10.6328372955,18.7825889587,5.0506401062,4.9260969162,51.9644203186,10.6309366226,9.9617729187,39.07188797,8.29226207733
