date,value
2018-08-16,76819
2018-08-17,76029
2018-08-20,76328
2018-08-21,75180
2018-08-22,76902
2018-08-23,75634
2018-08-24,76262
2018-08-27,77930
2018-08-28,77473
2018-08-29,78389
2018-08-30,76404
2018-08-31,76678
2018-09-03,76193
2018-09-04,74712
2018-09-05,75092
2018-09-06,76416
2018-09-10,76436
2018-09-11,74657
2018-09-12,75125
2018-09-13,74687
2018-09-14,75429
2018-09-17,76789
2018-09-18,78314
2018-09-19,78169
2018-09-20,78116
2018-09-21,79444
2018-09-24,77984
2018-09-25,78630
2018-09-26,78656
2018-09-27,80000
2018-09-28,79342
2018-10-01,78624
2018-10-02,81612
2018-10-03,83273
2018-10-04,82953
2018-10-05,82322
2018-10-08,86084
2018-10-09,86088
2018-10-10,83679
2018-10-11,82921
2018-10-15,83360
2018-10-16,85718
2018-10-17,85764
2018-10-18,83847
2018-10-19,84220
2018-10-22,85597
2018-10-23,85300
2018-10-24,83064
2018-10-25,84084
2018-10-26,85720
2018-10-29,83797
2018-10-30,86886
2018-10-31,87424
2018-11-01,88419
2018-11-05,89598
2018-11-06,88669
2018-11-07,87714
2018-11-08,85620
2018-11-09,85641
2018-11-12,85525
2018-11-13,84914
2018-11-14,85973
2018-11-16,88515
2018-11-19,87901
2018-11-21,87269
2018-11-22,87477
2018-11-23,86230
2018-11-26,85547
2018-11-27,87891
2018-11-28,89251
2018-11-29,89710
2018-11-30,89504
2018-12-03,89820
2018-12-04,88624
2018-12-05,89040
2018-12-06,88846
2018-12-07,88115
2018-12-10,85915
2018-12-11,86420
2018-12-12,86977
2018-12-13,87838
2018-12-14,87450
2018-12-17,86400
2018-12-18,86610
2018-12-19,85674
2018-12-20,85269
2018-12-21,85697
2018-12-26,85136
2018-12-27,85460
2018-12-28,87887
2019-01-02,91012
2019-01-03,91564
2019-01-04,91841
2019-01-07,91699
2019-01-08,92032
2019-01-09,93613
2019-01-10,93806
2019-01-11,93658
2019-01-14,94474
2019-01-15,94056
2019-01-16,94393
2019-01-17,95351
2019-01-18,96097
2019-01-21,96010
2019-01-22,95103
2019-01-23,96558
2019-01-24,97677
2019-01-28,95444
2019-01-29,95639
2019-01-30,96996
2019-01-31,97394
2019-02-01,97861
2019-02-04,98589
2019-02-05,98311
2019-02-06,94636
2019-02-07,94406
2019-02-08,95343
2019-02-11,94413
2019-02-12,96168
2019-02-13,95842
2019-02-14,98015
2019-02-15,97526
2019-02-18,96510
2019-02-19,97659
2019-02-20,96545
2019-02-21,96932
2019-02-22,97886
2019-02-25,97240
2019-02-26,97603
2019-02-27,97307
2019-02-28,95584
2019-03-01,94604
2019-03-06,94217
2019-03-07,94340
2019-03-08,95365
2019-03-11,98027
2019-03-12,97828
2019-03-13,98904
2019-03-14,98605
2019-03-15,99137
2019-03-18,99994
2019-03-19,99588
2019-03-20,98041
2019-03-21,96729
2019-03-22,93735
2019-03-25,93662
2019-03-26,95307
2019-03-27,91903
2019-03-28,94389
2019-03-29,95415
2019-04-01,96054
2019-04-02,95387
2019-04-03,94491
2019-04-04,96313
2019-04-05,97108
2019-04-08,97369
2019-04-09,96292
2019-04-10,95953
2019-04-11,94755
2019-04-12,92875
2019-04-15,93083
2019-04-16,94333
2019-04-17,93285
2019-04-18,94578
2019-04-22,94588
2019-04-23,95923
2019-04-24,95045
2019-04-25,96552
2019-04-26,96236
2019-04-29,96188
2019-04-30,96353
2019-05-02,95528
2019-05-03,96008
2019-05-06,95009
2019-05-07,94389
2019-05-08,95597
2019-05-09,94808
2019-05-10,94258
2019-05-13,91727
2019-05-14,92092
2019-05-15,91623
2019-05-16,90024
2019-05-17,89993
2019-05-20,91946
2019-05-21,94485
2019-05-22,94361
2019-05-23,93910
2019-05-24,93628
2019-05-27,94864
2019-05-28,96393
2019-05-29,96567
2019-05-30,97457
2019-05-31,97030
2019-06-03,97020
2019-06-04,97380
2019-06-05,95999
2019-06-06,97205
2019-06-07,97821
2019-06-10,97467
2019-06-11,98960
2019-06-12,98321
2019-06-13,98774
2019-06-14,98040
2019-06-17,97623
2019-06-18,99404
2019-06-19,100303
2019-06-21,102013
2019-06-24,102062
2019-06-25,100093
2019-06-26,100689
2019-06-27,100724
2019-06-28,100967
2019-07-01,101340
2019-07-02,100605
2019-07-03,102043
2019-07-04,103636
2019-07-05,104089
2019-07-08,104530
2019-07-10,105817
2019-07-11,105146
2019-07-12,103906
2019-07-15,103803
2019-07-16,103775
2019-07-17,103856
2019-07-18,104717
2019-07-19,103452
2019-07-22,103949
2019-07-23,103704
2019-07-24,104120
2019-07-25,102655
2019-07-26,102819
2019-07-29,103483
2019-07-30,102933
2019-07-31,101812
2019-08-01,102126
2019-08-02,102674
2019-08-05,100098
2019-08-06,102164
2019-08-07,102782
2019-08-08,104115
2019-08-09,103996
2019-08-12,101915
2019-08-13,103299
2019-08-14,100258
2019-08-15,99057
2019-08-16,99806
2019-08-19,99469
2019-08-20,99222
2019-08-21,101202
2019-08-22,100011
2019-08-23,97667
2019-08-26,96430
2019-08-27,97276
2019-08-28,98194
2019-08-29,100524
2019-08-30,101135
2019-09-02,100626
2019-09-03,99681
2019-09-04,101201
2019-09-05,102243
2019-09-06,102935
2019-09-09,103181
2019-09-10,103032
2019-09-11,103446
2019-09-12,104371
2019-09-13,103501
2019-09-16,103680
2019-09-17,104617
2019-09-18,104532
2019-09-19,104339
2019-09-20,104817
2019-09-23,104638
2019-09-24,103876
2019-09-25,104481
2019-09-26,105319
2019-09-27,105078
2019-09-30,104745
2019-10-01,104053
2019-10-02,101031
2019-10-03,101516
2019-10-04,102551
2019-10-07,100573
2019-10-08,99981
2019-10-09,101249
2019-10-10,101817
2019-10-11,103832
2019-10-14,104302
2019-10-15,104490
2019-10-16,105423
2019-10-17,105016
2019-10-18,104729
2019-10-21,106022
2019-10-22,107381
2019-10-23,107544
2019-10-24,106986
2019-10-25,107364
2019-10-28,108187
2019-10-29,107556
2019-10-30,108408
2019-10-31,107220
2019-11-01,108196
2019-11-04,108601
2019-11-05,108451
2019-11-06,108336
2019-11-07,109581
2019-11-08,107629
2019-11-11,108215
2019-11-12,106785
2019-11-13,105914
2019-11-14,106557
2019-11-18,106347
2019-11-19,105618
2019-11-21,107497
2019-11-22,108692
2019-11-25,108424
2019-11-26,107059
2019-11-27,107708
2019-11-28,108290
2019-11-29,108233
2019-12-02,109061
2019-12-03,108956
2019-12-04,110301
2019-12-05,110622
2019-12-06,111126
2019-12-09,110977
2019-12-10,110672
2019-12-11,110964
2019-12-12,112200
2019-12-13,112565
2019-12-16,111896
2019-12-17,112616
2019-12-18,114315
2019-12-19,115131
2019-12-20,115121
2019-12-23,115863
2019-12-26,117203
2019-12-27,116534
2019-12-30,115964
2020-01-02,118573
2020-01-03,117707
2020-01-06,116878
2020-01-07,116662
2020-01-08,116247
2020-01-09,115947
2020-01-10,115503
2020-01-13,117325
2020-01-14,117632
2020-01-15,116414
2020-01-16,116704
2020-01-17,118478
2020-01-20,118862
2020-01-21,117026
2020-01-22,118391
2020-01-23,119528
2020-01-24,118376
2020-01-27,114482
2020-01-28,116479
2020-01-29,115385
2020-01-30,115528
2020-01-31,113761
2020-02-03,114629
2020-02-04,115557
2020-02-05,116028
2020-02-06,115190
2020-02-07,113770
2020-02-10,112570
2020-02-11,115371
2020-02-12,116674
2020-02-13,115662
2020-02-14,114381
2020-02-17,115309
2020-02-18,114977
2020-02-19,116518
2020-02-20,114586
2020-02-21,113681
2020-02-26,105718
2020-02-27,102984
2020-02-28,104172
2020-03-02,106625
2020-03-03,105537
2020-03-04,107224
2020-03-05,102233
2020-03-06,97997
2020-03-09,86067
2020-03-10,92214
2020-03-11,85171
2020-03-12,72583
2020-03-13,82678
2020-03-16,71168
2020-03-17,74617
2020-03-18,66895
2020-03-19,68332
2020-03-20,67069
2020-03-23,63570
2020-03-24,69729
2020-03-25,74956
2020-03-26,77710
2020-03-27,73429
2020-03-30,74640
2020-03-31,73020
2020-04-01,70967
2020-04-02,72253
2020-04-03,69538
2020-04-06,74073
2020-04-07,76358
2020-04-08,78625
2020-04-09,77682
2020-04-13,78836
2020-04-14,79918
2020-04-15,78831
2020-04-16,77812
2020-04-17,78990
2020-04-20,78973
2020-04-22,80687
2020-04-23,79673
2020-04-24,75331
2020-04-27,78239
2020-04-28,81312
2020-04-29,83171
2020-04-30,80506
2020-05-04,78876
2020-05-05,79471
2020-05-06,79064
2020-05-07,78119
2020-05-08,80263
2020-05-11,79065
2020-05-12,77872
2020-05-13,77772
2020-05-14,79011
2020-05-15,77557
2020-05-18,81194
2020-05-19,80742
2020-05-20,81319
2020-05-21,83027
2020-05-22,82173
2020-05-25,85663
2020-05-26,85469
2020-05-27,87946
2020-05-28,86949
2020-05-29,87403
2020-06-01,88620
2020-06-02,91046
2020-06-03,93002
2020-06-04,93829
2020-06-05,94637
2020-06-08,97645
2020-06-09,96747
2020-06-10,94686
2020-06-12,92795
2020-06-15,92376
2020-06-16,93531
2020-06-17,95547
2020-06-18,96125
2020-06-19,96572
2020-06-22,95336
2020-06-23,95975
2020-06-24,94377
2020-06-25,95983
2020-06-26,93834
2020-06-29,95735
2020-06-30,95056
2020-07-01,96203
2020-07-02,96235
2020-07-03,96765
2020-07-06,98937
2020-07-07,97761
2020-07-08,99770
2020-07-09,99160
2020-07-10,100032
2020-07-13,98697
2020-07-14,100440
2020-07-15,101791
2020-07-16,100553
2020-07-17,102888
2020-07-20,104426
2020-07-21,104310
2020-07-22,104290
2020-07-23,102293
2020-07-24,102382
2020-07-27,104477
2020-07-28,104109
2020-07-29,105605
2020-07-30,105009
2020-07-31,102912
2020-08-03,102830
2020-08-04,101216
2020-08-05,102802
2020-08-06,104126
2020-08-07,102776
2020-08-10,103444
2020-08-11,102174
2020-08-12,102118
2020-08-13,100461
2020-08-14,101353
2020-08-17,99595
2020-08-18,102065
2020-08-19,100854
2020-08-20,101468
2020-08-21,101521
2020-08-24,102298
2020-08-25,102118
2020-08-26,100627
2020-08-27,100624
2020-08-28,102143
2020-08-31,99369
2020-09-01,102168
2020-09-02,101911
2020-09-03,100721
2020-09-04,101242
2020-09-08,100050
2020-09-09,101292
2020-09-10,98835
2020-09-11,98363
2020-09-14,100275
2020-09-15,100298
2020-09-16,99676
2020-09-17,100098
2020-09-18,98290
2020-09-21,96991
2020-09-22,97294
2020-09-23,95735
2020-09-24,97012
2020-09-25,96999
2020-09-28,94666
2020-09-29,93580
2020-09-30,94603
2020-10-01,95479
2020-10-02,94016
2020-10-05,96089
2020-10-06,95615
2020-10-07,95526
2020-10-08,97920
2020-10-09,97483
2020-10-13,98503
2020-10-14,99334
2020-10-15,99054
2020-10-16,98309
2020-10-19,98658
2020-10-20,100540
2020-10-21,100552
2020-10-22,101918
2020-10-23,101260
2020-10-26,101017
2020-10-27,99606
2020-10-28,95369
2020-10-29,96582
2020-10-30,93952
2020-11-03,95587
2020-11-04,97811
2020-11-05,100774
2020-11-06,100799
2020-11-09,103913
2020-11-10,105351
2020-11-11,104532
2020-11-12,102175
2020-11-13,104512
2020-11-16,106430
2020-11-17,107229
2020-11-18,106483
2020-11-19,106517
2020-11-23,107379
2020-11-24,109786
2020-11-25,110133
2020-11-26,110227
2020-11-27,110575
2020-11-30,108888
2020-12-01,111335
2020-12-02,111814
2020-12-03,112919
2020-12-04,113682
2020-12-07,113625
2020-12-08,113571
2020-12-09,112722
2020-12-10,114992
2020-12-11,115323
2020-12-14,114975
2020-12-15,116146
2020-12-16,117947
2020-12-17,118157
2020-12-18,117679
2020-12-21,116016
2020-12-22,116348
