TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
B3SA3;12,98;2,28;14,44;3,64;1,48;89,93;59,29;43,97;10,71;10,77;0,06;0,02;6,35;8,00;-2,27;2,13;25,18;10,22;9,90;0,41;0,59;0,23;12,34;11,76;353.514.104,29;3,57;0,90;0,78;68.359.170.000,00
BAHI3;4,51;;-1,64;1,58;0,24;55,39;-7,97;-20,31;-4,17;-5,50;-1,33;0,51;0,33;-1,12;-0,26;0,32;-96,77;-14,54;-17,71;0,15;0,79;0,72;46,22;;16.499,00;2,85;-2,76;0,00;119.021.524,82
BALM3;21,00;3,05;6,63;1,13;0,73;61,72;20,12;14,96;4,93;2,87;-1,50;-0,34;0,99;1,43;-2,72;3,30;16,99;11,02;12,65;0,65;0,36;0,74;5,42;37,76;17.663,20;18,63;3,17;0,03;182.427.000,00
BALM4;16,23;8,37;5,13;0,87;0,57;61,72;20,12;14,96;3,81;2,87;-1,50;-0,34;0,77;1,11;-2,10;3,30;16,99;11,02;12,65;0,65;0,36;0,74;5,42;37,76;11.070,18;18,63;3,17;0,03;182.427.000,00
BAUH3;0,00;;0,00;0,00;0,00;25,04;7,79;10,44;0,00;;-2,24;-0,34;0,00;0,00;0,00;1,79;20,51;14,08;12,52;0,69;0,31;1,35;6,53;-0,09;;24,98;5,12;0,00;
BAUH4;82,49;1,50;16,11;3,30;2,27;25,04;7,79;10,44;21,58;;-2,24;-0,34;1,68;9,61;-4,86;1,79;20,51;14,08;12,52;0,69;0,31;1,35;6,53;-0,09;93.726,33;24,98;5,12;0,43;
BAZA3;71,02;11,28;3,23;0,60;0,07;10,24;25,41;23,66;3,01;3,01;;;0,76;72,67;-0,07;;18,42;2,17;;0,12;0,88;0,09;26,63;34,96;475.568,33;119,36;21,99;-1,26;3.981.261.531,30
BBAS3;20,29;11,76;4,71;0,64;0,05;36,83;6,66;8,86;6,26;6,26;;;0,42;1,75;-0,05;14,03;13,57;1,02;;0,07;0,92;0,11;17,31;8,51;487.182.987,43;31,72;4,30;-0,16;116.278.622.671,60
BBDC3;13,44;8,42;7,49;0,83;0,07;32,69;8,46;8,62;7,63;8,24;;;0,65;0,91;-0,08;11,09;11,15;0,93;;0,08;0,92;0,11;11,40;-1,99;75.654.095,62;16,10;1,80;0,17;153.831.908.162,31
BBDC4;15,61;7,97;8,70;0,97;0,08;32,69;8,46;8,62;8,86;8,24;;;0,75;1,06;-0,09;11,09;11,15;0,93;;0,08;0,92;0,11;11,40;-1,99;334.882.926,81;16,10;1,80;0,20;153.831.908.162,31
BBML3;3.936,42;;-2.560,51;-7.089,59;141,45;5,41;1,44;-4,01;7.141,34;7.161,60;20,26;;102,60;-774,57;-213,54;0,65;-276,88;-5,52;-18,02;-0,02;1,02;1,38;25,94;;;-0,56;-1,54;12,66;160.451.699.191,56
BBSE3;34,31;10,82;7,94;5,88;3,70;;;;7,09;7,09;;;;14,69;-6,39;2,50;74,13;46,67;;0,63;0,37;0,00;;5,36;120.572.817,52;5,83;4,32;1,27;68.620.000.000,00
BDLL3;9,00;;-0,54;-0,06;0,03;19,03;-36,02;-63,99;-0,95;-12,07;-11,22;;0,34;-0,05;-0,05;0,46;-11,51;-5,05;52,00;-0,44;1,44;0,08;-2,75;;9.200,00;-145,99;-16,80;0,00;12.861.147,60
