TICKER,PRECO,ULTIMO DIVIDENDO,DY,VALOR PATRIMONIAL COTA,P/VP,LIQUIDEZ MEDIA DIARIA,PERCENTUAL EM CAIXA,CAGR DIVIDENDOS 3 ANOS,CAGR VALOR COTA 3 ANOS,PATRIMONIO,N COTISTAS,GESTAO,N COTAS,SETOR
XPLG11,91.17,0.820000,10.79,105.03,0.87,7024578.43,2.84,1.68,0.94,5397457621.00,347304.00,,51390097.00,Imóveis Industriais e Logísticos
ADSH11,10.89,0.070000,0.64,,,26346088.48,,,,,,,0.00,Misto
AFHF11,10.08,0.220000,7.13,10.28,0.98,55741.48,30.52,,,51421969.73,1081.00,,5000000.00,Misto
ALZR11,9.90,0.083550,10.14,10.78,0.92,3165774.90,9.50,1.95,3.39,1773434384.09,203139.00,,164492251.00,Misto
ARTE11,7.50,0.110000,15.60,10.16,0.74,41040.38,1.71,,,96527226.07,1014.00,,9499643.00,Misto
BLOG11,6.60,0.020000,0.30,11.26,0.59,12.00,0.11,,,346922775.80,120.00,,30796704.00,Misto
BPLC11,0.00,14.420464,0.00,9936.57,,,0.20,,,323226740.38,121.00,,32529.00,Misto
BTSI11,109.17,0.830000,8.98,123.73,0.88,0.00,0.06,3.50,10.36,788650928.50,223.00,,6373961.00,Misto
BZEL11,0.00,5.092421,0.00,148.66,,,0.06,,,525977520.02,3.00,,3538046.00,Misto
BZLI11,19.78,,0.00,16.74,1.18,,0.01,,5.16,732819025.17,18.00,,43785754.00,Misto
CARE11,2.80,0.008385,0.00,34.61,0.08,11474.48,1.62,,-34.14,249222829.66,6811.00,,7201226.00,Misto
CIXM11,9.04,0.150000,0.00,43.81,0.21,,5.87,,,268404717.93,108.00,,6127180.00,Misto
CJFI11,0.00,,0.00,2.91,,,2.88,,,276020038.85,1.00,,94711593.00,Misto
CPLG11,11.18,0.120000,14.31,10.52,1.06,108737.48,0.03,,,592814804.02,5398.00,,56355750.00,Misto
CPOF11,115.00,0.430000,3.21,125.83,0.91,3531252.67,0.40,,11.63,690734038.90,119.00,,5489284.00,Misto
CPUR11,11.03,0.100000,10.08,9.67,1.14,1009200.86,0.08,6.65,15.87,656129351.94,1791.00,,67825745.00,Misto
CTEM11,6.50,,0.00,,,40.50,,,,,,,0.00,Misto
