TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO
OMGE,Utilidade Pública,27.57,,8.07,1090.26,374.87,32.09,37.96,18.16,3.86,3.87,0.0,1.2,1.47,2884.43,-519.39,1.88,13508.17,4644.53,10038.93,0.34,0.66,255.7,30.0,90.67,,0.03,3.42,0.03,5521562588.85
ONCO,Saúde,5.41,,-4.4,1.18,0.33,31.79,-3.68,-12.81,-15.29,-31.86,-16.56,1.27,0.56,1.88,-0.53,1.81,-26.78,-7.41,-4.41,0.28,0.7,0.58,,,9026222.1,4.6,-1.23,0.01,3526001653.33
OSXB,"Petróleo, Gás e Biocombustíveis",2.53,,-0.01,0.0,0.01,99.31,-1412.27,-2292.64,-0.01,-7.08,-7.07,,0.12,-0.01,-0.01,0.01,-18.41,-114.07,75.68,-6.19,7.21,0.05,39.92,,4327.17,-2739.94,-504.56,0.0,7964536.14
PARD,Saúde,20.25,,36.76,5.3,2.1,26.45,13.31,6.98,19.27,19.93,0.66,0.18,2.57,-54.06,-3.28,0.9,14.42,5.7,13.1,0.4,0.6,0.82,13.44,2.56,,3.82,0.55,-1.04,5403493010.25
PATI,Materiais Básicos,36.785,17.66,10.129999999999999,1.12,0.5449999999999999,12.3,6.16,3.99,6.5600000000000005,7.52,0.36,0.06,0.4,1.355,-2.075,2.2,11.05,5.39,7.79,0.49,0.51,1.35,14.96,37.28,6679.445,32.85,3.63,0.035,960330161.7
PCAR,Consumo não Cíclico,37.855,,-9.690000000000001,6.715,0.9600000000000001,27.63,-1.47,-10.1,-66.775,-14.93,-8.58,0.86,0.9750000000000001,-139.575,-1.355,0.98,-69.32,-9.89,-9.16,0.14,0.86,0.98,-19.8,,30934739.19,5.64,-3.91,0.34,1765411329.6
PDGR,Consumo Cíclico,0.22,,-0.01,0.0,0.01,9.1,-82.43,-337.39,-0.06,-1.67,-1.61,,0.05,-0.01,-0.03,0.32,-13.8,-87.6,8.87,-6.35,7.49,0.26,-16.76,,420156.71,-113.29,-15.63,0.0,6532026.6
PDTC,Financeiro e Outros,1.02,,5.6,0.66,0.12,70.64,101.94,101.73,5.59,19.25,13.65,1.61,5.7,0.3,-0.36,2.4,11.74,2.1,3.13,0.18,0.82,0.02,,21.61,29592.48,1.55,0.18,0.0,81059018.52
PEAB,Financeiro e Outros,41.405,2.05,21.825,0.87,0.605,58.45,30.99,36.86,25.955,24.23,-1.72,-0.06,8.045,3.5250000000000004,-0.765,5.51,3.99,2.77,2.71,0.69,0.31,0.08,-26.42,-4.69,3424.0,47.53,1.9,0.26,782794190.23
PETR,"Petróleo, Gás e Biocombustíveis",32.089999999999996,17.52,8.594999999999999,1.045,0.36,49.67,27.45,9.7,3.04,5.45,2.4,0.82,0.835,-8.445,-0.405,0.72,12.16,4.19,11.0,0.34,0.65,0.43,10.18,3.69,485865338.90500003,30.71,3.73,-0.155,416153968704.33
PFRM,Saúde,8.02,7.28,7.97,0.76,0.17,14.98,2.87,1.17,3.27,5.51,2.24,0.52,0.09,1.08,-0.62,1.28,9.47,2.15,11.91,0.23,0.72,1.83,16.16,59.73,1238406.19,10.62,1.01,0.13,992978439.46
PGMN,Saúde,3.38,7.48,19.46,0.77,0.24,31.71,4.79,0.82,3.35,5.4,2.06,0.48,0.16,1.65,-0.49,1.41,3.97,1.25,12.47,0.31,0.69,1.51,14.51,,2101573.33,4.37,0.17,0.27,2104633847.68
PINE,Financeiro e Outros,5.76,9.07,12.010000000000002,1.165,0.05,19.73,0.85,3.44,48.385,48.39,,,0.41,-0.755,-0.05,0.16,9.69,0.4,,0.04,0.96,0.12,25.71,,493934.0,4.95,0.48,-0.26,1306126886.44
PLAS,Consumo Cíclico,5.1,,-0.46,-0.11,0.1,13.08,-0.38,-12.02,-14.48,-80.88,-66.4,,0.06,-0.2,-0.15,0.39,-23.89,-21.69,10.97,-0.91,1.91,1.81,22.66,,1401.91,-46.45,-11.1,0.0,63369631.8
PLPL,Consumo Cíclico,13.75,7.32,7.59,3.5,1.12,32.98,18.04,13.69,5.76,6.04,0.27,0.17,1.04,1.94,-7.39,3.12,46.07,14.76,29.06,0.32,0.65,1.08,29.22,29.29,8041940.52,3.93,1.81,0.2,2803638750.0
PMAM,Materiais Básicos,1.64,,-0.07,-0.02,0.08,-31.37,-80.91,-376.62,-0.31,-12.66,-12.35,,0.25,-0.02,-0.11,0.06,-30.37,-122.93,36.94,-4.05,5.05,0.33,-38.5,,270901.24,-79.81,-24.24,0.0,131740252.08
PNVL,Saúde,13.855,4.0,21.384999999999998,1.675,0.655,31.73,3.99,1.96,10.504999999999999,12.03,5.13,0.82,0.41500000000000004,2.455,-1.505,1.9,7.82,3.07,6.97,0.39,0.61,1.57,12.65,4.88,2604892.24,8.28,0.65,-2.1399999999999997,1366931302.29
POMO,Bens Industriais,7.3100000000000005,7.98,7.335000000000001,2.1,0.92,24.73,16.33,13.14,5.905,7.05,0.95,0.34,0.9650000000000001,3.8449999999999998,-2.2199999999999998,1.7,28.59,12.61,13.02,0.44,0.55,0.96,14.78,41.24,24398161.02,3.49,1.0,0.265,8581385972.62
PORT,Bens Industriais,17.53,6.34,13.52,2.81,1.19,47.83,33.12,18.73,7.65,9.76,2.11,0.78,2.53,57.42,-1.46,1.12,20.81,8.78,13.49,0.42,0.58,0.47,12.8,37.65,17254848.81,6.23,1.3,0.38,7730342587.0
POWE,Utilidade Pública,10.9,,23.92,0.99,0.38,6.82,3.52,2.59,17.55,10.6,-6.96,-0.39,0.62,6.57,-0.74,1.13,4.13,1.58,3.81,0.38,0.62,0.61,,,,11.02,0.46,-1.77,977237930.4
PPAR,Financeiro e Outros,7.3,16.25,0.51,0.02,0.015,,,,0.485,-0.91,-1.87,-0.09,,0.265,-0.015,18.61,4.3,3.05,3.55,0.71,0.29,0.0,,35.92,,332.08,14.26,0.015,2160800.0
PPLA,Financeiro e Outros,1.05,,0.49,295.54,8.37,,,,0.49,0.49,0.0,0.0,,-2955.4,-268.67,1.0,59960.0,1698.58,59960.0,0.03,0.97,0.0,,,157.7,0.0,2.13,0.0,2955399.3
PRIO,"Petróleo, Gás e Biocombustíveis",43.47,,3.44,1.46,0.71,43.99,40.3,72.61,6.2,9.04,2.85,0.67,2.5,6.84,-0.84,3.19,42.58,20.68,0.78,0.49,0.51,0.28,54.25,77.89,303277746.52,29.68,12.64,0.03,38964168140.31
PRNR,Bens Industriais,15.25,0.34,68.63,2.07,0.5,22.09,7.78,0.83,7.31,10.5,3.2,0.91,0.57,1.83,-1.15,1.96,3.02,0.73,9.03,0.24,0.75,0.89,25.85,,3600112.29,7.36,0.22,2.58,712491544.25
PSSA,Financeiro e Outros,52.0,4.52,11.9,2.43,0.68,100.0,8.76,7.79,10.58,7.46,-3.13,-0.72,0.93,10.76,-1.52,1.13,20.39,5.71,13.61,0.28,0.72,0.73,14.28,15.43,90294241.05,21.43,4.37,1.22,33622475120.0
PTBL,Bens Industriais,4.01,,-4.96,1.79,0.16,36.12,4.76,-4.61,4.8,13.37,8.57,3.19,0.23,-2.84,-0.25,0.87,-36.12,-3.16,4.4,0.09,0.91,0.69,16.66,,820066.29,2.24,-0.81,-0.03,565357412.86
PTCA,Bens Industriais,0.0,,0.0,0.0,0.0,48.98,12.2,9.03,0.0,1.23,1.23,0.49,0.0,0.0,0.0,1.94,29.27,10.95,14.21,0.37,0.63,1.21,19.72,30.95,,31.49,9.22,0.0,0.0
PTNT,Consumo Cíclico,6.795,4.44,8.469999999999999,0.74,0.31,14.84,6.42,4.69,6.18,8.2,2.68,0.32,0.395,0.8999999999999999,-0.6950000000000001,2.56,8.77,3.63,5.51,0.41,0.5,0.77,6.38,9.66,21354.81,9.15,0.8,-0.515,291648393.96
QUSW,Tecnologia da Informação,0.0,,0.0,0.0,0.0,94.75,47.06,36.45,0.0,1.44,1.44,0.42,0.0,0.0,0.0,1.14,22.61,8.75,15.96,0.39,0.61,0.24,-12.03,62.0,,126.07,28.5,0.0,0.0
RADL,Saúde,13.57,3.0,19.82,3.59,1.03,29.58,5.79,2.95,10.12,11.29,1.17,0.42,0.59,6.94,-2.45,1.34,18.13,5.2,20.13,0.29,0.71,1.76,17.22,8.78,125098762.05,3.78,0.68,1.66,23313357704.0
RAIZ,"Petróleo, Gás e Biocombustíveis",1.51,0.66,-3.67,0.86,0.11,4.64,1.69,-1.67,3.62,14.44,10.82,2.57,0.06,1.03,-0.2,1.33,-23.42,-3.02,3.86,0.13,0.87,1.81,20.39,,18128958.43,1.76,-0.41,0.0,15632289320.84
