TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-47,20;0,61;0,39;0,56;37,72;80,87;99.716.529,00;7,40;2,01;0,01;4.669.246.869,35
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;4,97;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00
TCSA3;0,70;;-0,45;0,20;0,05;-13,99;-17,42;-58,25;-1,52;-16,51;-15,00;1,96;0,26;0,40;-0,07;1,78;-43,60;-11,47;-4,78;0,26;0,73;0,20;3,50;;81.299,30;3,53;-1,54;0,03;51.533.461,00
TECN3;10,03;4,09;8,31;1,40;0,90;54,72;15,68;15,21;8,07;8,29;0,23;0,04;1,26;1,90;-2,59;3,60;16,78;10,80;14,07;0,64;0,36;0,71;14,36;;636.526,91;7,19;1,21;0,53;610.889.336,45
TEKA3;42,50;;0,07;-0,01;0,02;24,20;32,52;83,45;0,18;0,70;0,58;;0,06;-0,01;-0,02;0,05;-13,57;25,99;24,19;-1,91;2,91;0,31;17,70;;;-4.433,43;601,78;0,00;14.260.237,50
TEKA4;21,25;;0,04;0,00;0,01;24,20;32,52;83,45;0,09;0,70;0,58;;0,03;0,00;-0,01;0,05;-13,57;25,99;24,19;-1,91;2,91;0,31;17,70;;;-4.433,43;601,78;0,00;14.260.237,50
TEND3;29,38;4,20;5,97;2,65;0,51;30,80;13,56;13,43;5,91;6,45;0,53;0,24;0,80;1,75;-1,21;2,00;44,45;8,51;19,90;0,19;0,81;0,63;12,83;24,68;83.104.388,26;11,08;4,92;0,03;3.601.346.105,76
TFCO4;14,21;1,67;93,33;22,77;13,35;57,30;19,91;13,23;62,03;10,61;0,53;0,20;12,35;29,74;-43,76;2,83;24,39;14,31;21,23;0,59;0,41;1,08;31,38;40,92;6.769.304,52;0,62;0,15;6,78;2.177.227.801,32
TOKY3;0,51;;-0,29;71,55;14,63;52,50;0,42;-6,51;4,51;4,59;0,08;1,24;0,02;-193,86;-21,59;0,81;-24.363,77;-4.981,80;-1.654,59;0,20;0,92;764,87;19,10;;99.424,26;0,01;-1,74;0,01;27.640.341,48
TOYB3;2,29;;-43,94;0,03;0,00;24,06;-10,70;-10,96;-45,00;-46,99;;;4,81;0,34;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,47;71.890.222,22
