TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,SETOR
BMGB4,4.52,6.64,6.84,0.59,0.06,39.56,2.79,4.32,10.59,10.59,,,0.3,-0.14,-0.06,0.02,8.62,0.82,,0.1,0.9,0.19,20.01,0.44,3192692.86,7.67,0.66,0.95,2707879088.88,Financeiro e Outros
BMIN3,22.99,1.54,13.78,0.77,0.17,14.65,25.0,12.76,7.04,6.81,,,1.76,35.98,-0.17,,5.57,1.23,,0.22,0.78,0.1,24.69,29.3,2299.0,29.92,1.67,-5.95,107281212.98,Financeiro e Outros
BMIN4,17.85,7.84,10.7,0.6,0.13,14.65,25.0,12.76,5.46,6.81,,,1.37,27.94,-0.13,,5.57,1.23,,0.22,0.78,0.1,24.69,29.3,8036.31,29.92,1.67,-4.62,107281212.98,Financeiro e Outros
BNBR3,109.9,5.44,3.84,0.7,0.15,45.77,50.32,28.85,2.2,2.2,,,1.11,17.04,-0.15,,18.19,3.97,,0.22,0.78,0.14,8.63,10.2,32329.85,157.26,28.6,0.12,10847102415.1,Financeiro e Outros
BOAS3,7.95,,15.22,1.83,1.7,56.53,19.25,32.39,25.6,18.69,-6.92,-0.5,4.93,3.34,-3.8,12.37,12.04,11.16,0.99,0.93,0.07,0.34,8.81,74.34,,4.34,0.52,1.98,4212250617.75,Financeiro e Outros
BPAC11,53.51,1.97,14.48,2.98,0.3,47.69,45.56,36.88,11.72,11.72,,,5.34,-0.4,-0.3,0.01,20.6,2.06,,0.1,0.89,0.06,25.49,30.46,463841605.81,17.94,3.7,0.48,205230825782.43,Financeiro e Outros
BPAC3,30.6,1.15,24.83,5.12,0.51,47.69,45.56,36.88,20.1,11.72,,,9.16,-0.69,-0.52,0.01,20.6,2.06,,0.1,0.89,0.06,25.49,30.46,199565.1,5.98,1.23,0.83,205230825782.43,Financeiro e Outros
BPAC5,11.5,3.06,9.33,1.92,0.19,47.69,45.56,36.88,7.55,11.72,,,3.44,-0.26,-0.19,0.01,20.6,2.06,,0.1,0.89,0.06,25.49,30.46,91139.48,5.98,1.23,0.31,205230825782.43,Financeiro e Outros
BPAN4,11.35,2.13,37.13,1.89,0.21,34.9,0.19,2.58,505.22,505.22,,,0.96,-467.68,-0.21,0.05,5.1,0.56,,0.11,0.89,0.22,10.77,-9.0,16771497.52,5.99,0.31,-0.97,14403945521.5,Financeiro e Outros
BPAR3,117.42,3.75,4.43,0.5,0.06,49.16,11.13,6.92,2.76,2.76,,,0.31,4.29,-0.06,,11.35,1.29,,0.11,0.89,0.19,14.76,-4.89,0.0,233.36,26.49,-0.14,1118032025.58,Financeiro e Outros
BPAT33,44.05,,6.98,0.66,0.09,51.56,21.77,5.61,1.8,1.8,,,0.39,,-0.12,,9.46,1.35,,0.14,0.86,0.24,14.99,-18.89,,66.71,6.31,-0.11,1533769021.0,Financeiro e Outros
BRBI11,18.6,10.0,11.31,2.41,0.12,100.0,1.21,54.18,504.63,206.04,-298.59,-1.43,6.13,2.93,-13.68,1.04,21.33,1.02,-0.32,0.05,0.95,0.02,-5.26,17.68,5175187.43,7.71,1.64,-1.0,1952920094.4,Financeiro e Outros
BRBI3,0.0,,0.0,0.0,0.0,100.0,1.21,54.18,0.0,206.04,-298.59,-1.43,0.0,0.0,0.0,1.04,21.33,1.02,-0.32,0.05,0.95,0.02,-5.26,17.68,,2.57,0.55,0.0,1952920094.4,Financeiro e Outros
BRBI4,0.0,,0.0,0.0,0.0,100.0,1.21,54.18,0.0,206.04,-298.59,-1.43,0.0,0.0,0.0,1.04,21.33,1.02,-0.32,0.05,0.95,0.02,-5.26,17.68,,2.57,0.55,0.0,1952920094.4,Financeiro e Outros
BRGE11,13.18,,33.11,0.52,0.32,-4115.33,-798.17,824.67,-34.21,21.81,56.17,-0.85,273.04,0.85,-0.75,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.51,974940393.52,Financeiro e Outros
BRGE12,13.47,,33.84,0.53,0.33,-4115.33,-798.17,824.67,-34.96,21.81,56.17,-0.85,279.05,0.87,-0.77,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.52,974940393.52,Financeiro e Outros
BRGE3,13.5,,33.91,0.53,0.33,-4115.33,-798.17,824.67,-35.04,21.81,56.17,-0.85,279.67,0.87,-0.77,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.52,974940393.52,Financeiro e Outros
BRGE5,13.18,,33.11,0.52,0.32,-4115.33,-798.17,824.67,-34.21,21.81,56.17,-0.85,273.04,0.85,-0.75,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.51,974940393.52,Financeiro e Outros
BRGE6,12.92,,32.46,0.51,0.32,-4115.33,-798.17,824.67,-33.53,21.81,56.17,-0.85,267.65,0.83,-0.74,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.5,974940393.52,Financeiro e Outros
BRGE7,13.07,,32.83,0.51,0.32,-4115.33,-798.17,824.67,-33.92,21.81,56.17,-0.85,270.76,0.84,-0.74,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.5,974940393.52,Financeiro e Outros
BRGE8,13.17,,33.08,0.52,0.32,-4115.33,-798.17,824.67,-34.18,21.81,56.17,-0.85,272.83,0.85,-0.75,3.06,1.56,0.98,-2.91,0.63,0.37,0.0,-32.83,-11.18,,25.56,0.4,-0.51,974940393.52,Financeiro e Outros
BRML3,8.26,,12.56,0.57,0.34,89.0,65.8,32.9,6.28,8.08,1.8,0.16,4.13,6.6,-0.37,2.42,4.53,2.71,6.98,0.6,0.4,0.08,4.55,-15.44,,14.53,0.66,-0.16,6770891280.44,Financeiro e Outros
