TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO
CSMG,Utilidade Pública,26.15,6.38,7.13,1.2,0.62,43.05,25.74,17.26,4.78,7.32,2.54,0.64,1.23,22.54,-0.74,1.22,16.8,8.75,9.46,0.52,0.48,0.51,8.84,13.06,57492026.57,21.82,3.67,144.25,9943617754.35
CSRN,Utilidade Pública,14.733333333333334,9.526666666666666,4.723333333333334,1.4633333333333336,0.39999999999999997,29.69,24.55,13.479999999999999,2.5966666666666667,5.05,2.65,1.5,0.6366666666666667,5.513333333333333,-0.5166666666666667,1.4799999999999998,31.03,8.5,18.9,0.27,0.73,0.63,7.94,13.79,0.0,10.04,3.1199999999999997,-0.36333333333333334,2273440192.0
CSUD,Bens Industriais,17.5,6.45,8.01,1.48,1.03,42.13,22.26,15.78,5.67,5.56,-0.12,-0.03,1.26,16.7,-1.46,1.27,18.47,12.89,12.34,0.7,0.3,0.82,5.53,27.77,465815.86,11.83,2.19,-6.88,731500000.0
CURY,Consumo Cíclico,29.81,4.97,12.05,7.67,1.79,38.82,21.36,16.77,9.46,9.18,-0.28,-0.23,2.02,5.11,-4.77,2.26,63.68,14.82,30.98,0.23,0.72,0.88,30.96,35.15,43434960.57,3.89,2.47,0.34,8700796373.28
CYRE,Consumo Cíclico,26.8,3.99,6.02,1.1,0.47,32.6,24.36,20.48,5.06,6.54,1.48,0.32,1.23,1.18,-1.09,3.36,18.28,7.82,11.17,0.43,0.52,0.38,15.17,32.67,93166854.81,24.35,4.45,0.09,10291200000.0
DESK,Comunicações,8.1,0.45,10.39,0.69,0.26,62.22,31.24,7.82,2.6,5.52,2.92,0.77,0.81,5.63,-0.32,1.37,6.59,2.52,11.0,0.38,0.61,0.32,,,802087.71,11.82,0.78,-0.83,938611881.0
DEXP,Materiais Básicos,8.675,6.130000000000001,6.0649999999999995,0.95,0.58,17.59,11.84,7.72,3.955,3.8,-0.15,-0.04,0.47,1.32,-1.6949999999999998,3.06,15.64,9.63,13.42,0.62,0.38,1.25,17.81,44.36,266385.38,9.15,1.43,-0.55,947780949.51
DIRR,Consumo Cíclico,40.2,9.28,10.69,3.2,0.66,37.03,22.2,18.26,8.79,9.23,0.44,0.16,1.95,2.02,-1.18,3.82,29.96,6.15,16.56,0.21,0.78,0.34,18.09,45.38,47853358.33,12.56,3.76,0.2,6974700000.0
DMVF,Saúde,4.69,,9.51,0.26,0.13,30.38,2.82,1.11,3.75,3.81,0.07,0.0,0.11,5.62,-0.19,1.08,2.78,1.36,6.47,0.49,0.51,1.23,353.03,,233251.05,17.72,0.49,2.4,237327328.98
DXCO,Materiais Básicos,5.14,1.05,16.36,0.61,0.23,28.62,12.03,3.14,4.27,9.38,5.1,0.73,0.51,3.23,-0.32,1.37,3.75,1.43,7.14,0.38,0.6,0.46,10.44,-8.66,11509705.76,8.38,0.31,-0.29,4217710504.44
